评论,评分
听不清楚说话，杂音太大，失望,3
用几天看看,3
屏幕太常，不协调，掉电快,3
没有耳机和钢化膜的，手机开机就有好多已下载的软件,3
买这手机看了很久才决定买的，结果买的过程很曲折，第一次购买回来，觉得电池不耐用，下午四点过充满电，第二天早上就没多少了，还没怎么用，即没打游戏也没怎么看视频。于是申请更换，更换后觉得屏幕又有问题，颜色失真，屏幕发黄，感觉屏幕上蒙了一层东西，还不如我用了三年的华为老机。最后申请退货。客观说如果不是每部都这样我觉得这价格和配置还是基本可以入手。,3
货收到用用在评,3
感觉有点卡，不建议购买！以后不会在京东买手机了产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！?已经多次购买了，家庭必备，购买价格实惠，送货速度很快，?包装也很精美终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接,3
什么都没送，质量也不好，还不如买华为，荣耀。,2
外观、运行速度还不错，就是机身吸灰尘很严重，天天都要清理,3
送货速度很慢，手机暂时还行，不过充电速度不太快哦,3
触屏不够灵活，反应有点慢，原装手机膜也不太好使用。,3
其他特色：玩游戏还可以，不知道是系统还是手机的问题，做其他的没别的手机好用,3
新手机电池很不耐用，不知道好评怎么上来的，机器还算流畅。,3
外形外观：后面是塑料材质，不是玻璃屏幕音效：音质很好运行速度：杠杠滴,3
耗电快，其他都可以。,3
刚拿上货，物流快，非常棒手机触控都可以，如果边充电边玩手机，手机轻微发烫,3
玩起来挺流畅的.。。,3
买给弟弟用的，还行，,3
外形外观：好看屏幕音效：还行运行速度：还可以吧待机时间：不是太长，,3
别的都还可以就是这个电量冲的快用的也快，还不如我用了两年的苹果电量呢。。,3
正在使用 几天后评价,3
有时断网，真实体验，可能系统没优化好，还没以前买的维沃x7好用,3
618买的，价格还可以，但是有出现过好几次断网的现象。,3
个人认为还可以，像素不错，手机电池还可以，不卡,3
电池不行，刚买的手机，没多少分钟就掉了几度，其他的都行,3
颜值还行，掉电太快了每天都要充电，我就看一下朋友圈,3
有一点卡，看一下视频就没多少电了,3
运行速度：wifi频繁断流外形外观：背面塑料手感太软，用点力能感觉到形变,3
这个手机看着还行。用着要在看看。好了在评论。,3
刚来几天玩儿的挺好的，不过这几天玩儿游戏时各种断触，网好好的，人物不受控制的一个劲儿的往前走，服了,3
拍照效果：不咋地待机时间：还好运行速度：还好外形外观：塑料的味太大了屏幕音效：还好,3
手机好看，给家人买的，手机说话的时候偶尔有回声。急用懒得弄了,3
还凑合吧，目前没发现什么问题。用后再评,3
还算可以吧，第一次充电感觉有点发烫，耗电也快，来电视频也不支持，希望快点升级,3
手机挺耗电的 声音很好听，打游戏也爽 就是手机有点耗电,3
外形外观：略显厚重，边框很丑，颜值太低运行速度：速度很快，性价比高,3
外观很好，拍照差点，速度也很快，信号差了点，游戏王者很快，我玩的天龙容易卡机掉线，别的还好吧,3
?收到立马打开看了一下，非常不错，质量超好，颜值又高?  不过有点小耗电，充电也不是特别快,3
手感比想象中好，使用体验不错，为什么不五星？因为后面买比预约划算是什么骚操作？这波营销差评，真是气,3
拍照效果：扫码机外形外观：塑料机屏幕音效：满意运行速度：还可以待机时间：持续掉电掉电比较快，,3
手机整天感觉还可以，就是电池不耐用，轻度使用，大半天就没电了，,3
还好是买给我爸用的，好家伙进入页面居然在转圈圈。,3
屏幕音效：可以拍照效果：一般待机时间：非常不好，续航能力太不喜欢了其他特色：喜欢运行速度：帮,3
怎么说呢，用了几个星期了，功能方面还行，但电池把刷新率改为60还是耗电快，电池方面不行,3
总体来说各种性能都很好，不知道再过一两个月怎么样到时候再看看吧,3
很流畅，有点障碍都没有很完美，游戏运行非常快，值得入手,3
外形外观：感觉还行，右上角的前置摄像头感觉怪怪的屏幕音效：还行待机时间：目前尚可其他特色：没有赠送耳机,3
手机用了一段时间了，感觉很容易发热，同价位的华为感觉比这好很多！,3
刚刚拿到，还没使用，耳机不知道啥时候能送到。后续再看吧。,3
我真的服了，拿到手机声音有问题，特别小，掉电特别快，客服答应补偿一个耳机，总共两个耳机没发我，后面客服不认账只承认发一个，换了个客服直接一个都不发我了，之前担心我退货，给我拖到不能退了就不发了，恶心人呢,3
比旧手机厚重很多，完全没有轻薄感，另外性能也不是特别好，玩游戏开不了最高画质，开最高画质放幻灯片那种效果,3
有些时候突然条屏，其他的都还可以，工作手机。无所谓,3
配货很慢，但送货很快，手机耗电很快，充电也快，其他还好,3
手机用起来不错，外国也很帅气，就是活动真的真的没弄好吧，搞不懂,3
外形外观：一般运行速度：挺好待机时间：一般屏幕音效：不错拍照效果：一般就是手机容易发热,3
还行吧，就是一个耳机都能送错。跟客服说了补发一个，等了半个多月还没结果,3
外形外观：好看的屏幕音效：可以拍照效果：后置摄像头非常清楚前置还好运行速度：还行待机时间：不怎么行耗电太快充电也不怎么快,3
外形外观：这个价格其实已经只能这样了屏幕音效：屏幕是144hz的 看着相当流畅 拍照效果：游戏手机要什么拍照？扫码就行运行速度：还行待机时间：中规中矩,3
买学生用的，我自己用的话不喜欢。操作系统没我的荣耀手机好用,3
还在行吧，他喜欢，就那样，主要是挺快的，啥也没送，耳机什么的都没有，就一个充电器一个透明手机壳，,3
运行速度：大型游戏没玩过，不作评价。抢红包还没我用了两年的华为荣耀十快，掉电速度比例快。整体很一般吧。我用手机要求就是运行速度快，电池耐用，拍照内存要求不高，后悔没买z5！,3
手机发热，这是使用的第三天，游戏还可以，就是容易发热,3
没有耳机和钢化膜?但是本机还可以，如果再有耳机，手机膜就行了,3
屏幕偶尔不灵敏，这个价钱也就这样运行速度：一般屏幕音效：很好外形外观：很好待机时间：一般拍照效果：一般其他特色：有待观察,3
和一款小米手机一起买的可能价格摆在那里说实话这两款就拍照来说感觉还没有两年前买的手机好所幸是给父母买的也就不计较那么多了其它的就不炖赘述了,3
中体还是很好了，但快递不是很快，手机套不是很好，边缘很高，返回操作不是很好操作， 打游戏很快,3
要用性价比来说这个，这个价格的手机配备的这么多东西，确实不错，但是最好戴一个手机壳有点剌手,3
屏幕音效：屏幕挺喜欢就是不太好贴膜拍照效果：一般能扫二维码运行速度：很快外形外观：还行待机时间：还可以毕竟有快充其他特色：用起来挺舒服的,3
打王者吃鸡，特别容易卡，已经排除网络问题，不知道具体原因外形外观：还可以吧待机时间：这个比较满意,3
待机时间：耗电有点快，待机时间不行其他特色：断流严重，打游戏经常460运行速度：还行外形外观：还行屏幕音效：还行拍照效果：一般,3
还可以待机时间：不太好，用电很快，其他特色：充电快 但是用充电宝充电就很慢拍照效果：一般外形外观：还好,3
外形外观：中框感觉不行，总体看上去可以屏幕音效：144hz感知挺好，拍照效果：很一般。。不比我的8p。运行速度：挺快，就是系统用不习惯，还有就是优化不太好待机时间：还不错，可以用一天多。其他特色：mtk挺好的现在。预约的没送蓝牙耳机，还贵50元,3
帮别人买的，希望能好吧！看着网红评价还是不错的，就是实际没用过,3
外形外观：挺好看的屏幕音效：还行拍照效果：很好就是送的手机套没有保护到后摄像头运行速度：有时候还可以感觉也没那么快    特别是我在玩游戏的时候竟然还老是出现白屏从买手机到现在才十天不到出现了四次白屏   不想退货了  太麻烦了   唉待机时间：挺好,3
屏幕音效：屏幕音效不错，就是屏幕显示色彩不怎么好，不够清晰，应该是用高端机久的缘故吧，必竟价格摆在这里，总体来说还是可以吧！运行速度：玩游戏没问题，值得推荐,3
手机过长，宽度过窄，电池待机消耗太快，其他的功能都还行！,3
用了好多天了，还不错，质量挺好的，速度也快！唯一缺点是这款手机不支持快捷方式调整声音大小，必须得使用手机侧面按键，这是硬伤，也是设计者**和缺陷。,3
其它的都可以，手机启用5G网一会4G一会5G，就算开了SA独立组网也是这样一会4G一会5G，vivo手机就败在网络这方面，有没有网速在市中心开了5G网也卡,3
外观漂亮 拍照不行 游戏也还好 第一天嘛 就是感觉信号不好,3
外形外观：外观看上去很漂亮，不过前置摄像头是挖孔的屏幕音效：屏幕风格有点偏暗拍照效果：还不错，不追求拍照的可以考虑运行速度：感觉还可以待机时间：续航能力是真的差,3
续航能力是真的差，后悔,3
速度挺快，自带的软件能满足基本需求，没有太多没用的，唯一不好的一点就是屏幕处于锁定状态，点击屏幕不会亮，必须先人脸识别，不方便。,3
给刚高考完的小弟买的，手机还算阔以吧，外观很时尚，配置也挺不错的。希望以后使用的过程中不会出现啥问题。就是给的这张卡激活不了，过期了！,3
已用过五部VivO手机，这新款也用几天了没发现有什么惊奇的地方，玩和平精英有时也卡、网速也与旧手机相差不远，没劲将就用吧，现在用的4G与无线网络，等有5G网了再看下怎么样？,3
外形外观：还行屏幕音效：还行拍照效果：我觉得不行运行速度：?啤待机时间：?啤其他特色：冬天里的一个暖宝宝（是真的烫不是你想的那样温温的感觉，就是单纯的烫手）,3
网是真的差劲，不是跟风也不是乱评，是真的不行,3
耗电挺快的，跟人开个视频都发烫。其他没毛病拍照效果：好待机时间：不久,3
外形外观：外观一般，屏幕长了一点点，看起来很宅，边框也宽，显得修长拍照效果：效果还行没有多大优势，日常够运行速度：速度还可以待机时间：虽然4500毫安电池，没有感觉耐用，虚标其他特色：一分钱一分货 这个价格这个配置还是不错了,3
外形外观：很好 就是过黑看不出蓝色屏幕音效：声音很大拍照效果：一般运行速度：挺快的待机时间：不太清楚其他特色：性价比很高，但因此很多方面都阉割了 日常体验一般 慎重选择如果不是日常喜欢打游戏的话 这里给个中评,3
外形外观：外观颜色还可以待机时间：待机时间不行，尤其第一次充满电，看了两个一分钟的视频，电量就掉了2%运行速度：偶尔还是会有卡顿,3
拍照不错，但就是电用的挺快的，不耐用！不资道是什么问题,3
外形外观：外观一般，塑料背壳屏幕音效：很不错，双立体扬声器拍照效果：很不错，像素还是刚刚的运行速度：天玑1000+果然不错突然白屏了一下，不懂为什么，屏幕卡住，应用图标全部消失，只能重启。,3
外形外观：好屏幕音效：一般 不过立体声很棒拍照效果：一般般 自拍挺好运行速度：还行待机时间：一般我觉得对得起这个价格，目前使用没啥大问题，打游戏很爽  拍照色彩有点儿失真  系统还有待优化,3
外形外观：可以屏幕音效：可以拍照效果：可以运行速度：可以待机时间：一般其他特色：系统优化不太好用比我之前的noe855版的系统差好远，总感觉屏幕没那么灵敏！信号也没noe855版的差，同一电梯855的4g信号满的打电话上网都飞得起来，z1在电梯里2G信号，服了,3
之前用的Z1感觉很不错，所以今年买了个Z3。但。。。这这这。。。这个手机好卡啊，特别慢，安装个软件安到天长地久，耗电也特别快。感觉不太稳啊。,3
外形外观：还可以，屏幕音效：屏幕显示一般，拍照效果：扫二维码没问题，运行速度：运行速度很快，也许这个就是唯一的优点，待机时间：还不知道，刚刚拿到手，其他特色：发烫严重，用那么多手机来说，这个手机发烫最严重，冬天暖被窝是一个不错的选择，如果接受不了发烫严重的小朋友最好不要买，我是用来玩游戏备用机的，不爆炸就可以了，烫就烫呗，毕竟还没有到可以烫伤人的地步,3
安兔兔跑分五十万以上，刷新率是90，按键比较松，CPU温度基本上保持在55&deg;～75&deg;之间。手机反应速度快。,3
好不容易要了个耳机，给我寄到新疆去了，一个月也到不了，我在山西，从广东发货居然转到新疆。客服让我问邮政，也就是说他们交给快递就不管了，没有时效。售后敷衍可见。,3
不知道原厂的屏保怎么回事，老是有静电。吸灰尘。新手机都一样。用着都挺好的。不知后续会不会出问题。用着再说吧。,3
太垃圾了。才几天就降价了。就京东在挺着。官网都降价了。恶心,3
外形外观：不错运行速度：还可以拍照效果：好屏幕音效：还不错待机时间：再观察几天好用的话在追加,3
外形外观：重量比较轻，看上去像玻璃，到其实是塑料后盖，挖孔略大，还好在右边。屏幕音效：LCD屏嘛，效果差点，大家都懂，双扬声器还行。拍照效果：拍照也不是这个手机的强项，扫个码还是没问题的。运行速度：跑分跑了51万，成绩还不错，但不知道为啥，玩了一会保卫萝卜居然都时不时还卡一下小白鼠我来当！待机时间：充电挺快，续航也不错，全天开启144HZ，都能用一天。其他特色：JOVI是真难用，一次没成功过，但不管怎么样，对得起这个价位。,3
用了一段时间，总体感觉可以，就是有时候有断触现象，音效，航续都还行，打游戏还可以，拍照就相对来说差一点，不过本来就是游戏机，充电也挺快的，吃顿饭差不多就满了，总体来说还行，,3
待机时间：电池真心不耐用，别说深度玩家了，我偶尔刷刷网页，都只能撑到下午，还有信号比华为差一些。同样地方，同样的电信运营商，刷电信视频，华为手机很少卡顿。当然，相对于价格来说，总体还是能接受。流畅度还行，手机性能也是很好的。,3
外形外观：屏幕细长，机身有点厚，后盖的塑料感觉好软，按一下会动。只看外观的话还不错。屏幕音效：还可以。不过外音声音大点手机震动感很大很明显。拍照效果：一般，对这个需求不大。运行速度：流畅待机时间：还行。连续刷剧能用7个小时左右。充电很快，一个小时多点充满。其他特色：总体来说手机还不错，给中评是因为预售太坑。6.1直接买的还能多送个蓝牙耳机，但是想了下预订能优先发货也不错，但是别人直接买的都到了我还没发货，什么优先发货也是骗人的。等了两天才发货。对这个预售真的失望。,3
用了一段时间，发现一些小问题。1.头几次充电，接通电源后立马显示快充动画，进去快充模式。但是现在接通电源后要过个几十秒才有快充动画，有时候甚至直接不显示快充动画，这时候充电很慢，15分钟只充了6%的电，需要拔了重新连接2.同一张卡手机信号没我之前手机强3.打游戏的时候感觉不到太耗电，但是日常使用感觉耗电有点快4.WIFI经常不能自动切换到信号更好的那个，需要手动切换5.我打王者有时会突然460，然后一直卡着不动，需要切换下网络或者重新连接下网络才行6.打游戏开语音有时不能听到对方说话，有时对方听不到我说话7.前置摄像头周围一圈亮度比较暗淡不知道是不是正常的,3
外形外观：好看的屏幕音效：音质不好，拍照效果：像素不OK，自带的美颜过于强大运行速度：还OK待机时间：不玩的话一个晚上耗电百分之五左右，听一晚上音乐耗电百分之十五其他特色：耗电太快，充电也很快,3
"用了一阵子来评价，发热也没那么严重，充电速度还行，游戏体检尚可。总体来说没有大的缺点，也没有大的优点，比较中庸的产品。优点:玩现在的主流游戏都可以可以，屏幕支持高刷新144Hz,充电速度尚可，就是要天天带着这个充电器，再买个充电器的话价值不菲。正常使用的话，充满电出门不玩游戏可以支撑到下班。缺点:存储还是老的usf2.1的，不支持3.0,虽然优化的比较好，但是也只是比普通的2.1块而已。其次，内存也只有ddr4X,速度和5差了一倍。既然做性价比旗舰游戏机，看来还是走高通的比较有优势，毕竟天机性价比高的还是820系列。1000系列优化不足，性价比较低了。",3
手机很好，别听她们瞎说，发热一般正常，系统也没问题，没出现什么不良情况。中评的原因是一个星期才发货，收到的手机是6月份出厂的，也就是4个月前的库存货，一千七百二十买的8+128。手机很好，性价比很高外形外观：漂亮屏幕音效：好，外音大时有点震动拍照效果：一般，够用，只扫码运行速度：非常快，流畅待机时间：具体没测试过，一晚上睡觉大约2-3个电,3
用了几天，对我来说有些优缺点优：1、颜值不错，银色渐变色很漂亮，随机贴好了保护膜，自带的手机壳也可以2、速度快，操作一般运用时很流畅3、双声道效果不错，音量大，还带单独的耳机孔一般：1、拍照效果一般2、电池续航一般，一天一充缺：1、没有呼吸灯，有些不方便2、通话记录只能导入3000条（导了多次，试了几个APP）,3
这款机内置的大部分APP都可以卸载，不能卸载的可设置不推送消息。手机单手可握，侧面指纹用起来也很顺手，这些也好评。无呼吸灯和只能存3000条通话记录这点对做销售，业务的来说有点不方便，但手机娱乐性强，整体来看，值得大部分用户购买。,3
外形外观：手机还是比较漂亮的。屏幕音效：屏幕太差了，不清晰，不通透。毕竟模糊。发暗。拍照效果：拍照效果还不错，比较清晰，夜景可以，就是拍照运行速度卡顿。运行速度：比较卡顿，没有所谓的那么流畅。待机时间：耗电快，不好。充电也慢。反正不推荐购买。速度卡顿，特别是拍照。边用边玩充电速度很慢。,3
之前体验过一次，入手发现手机还挺厚的，尤其是安上自带壳之后特别厚，感觉发热算比较严重的，上次用这么烫的手机还是一年的x7，勉强对的起价格。144高刷基本不用，打游戏会跟不上，而且发热，充电，还行吧，感觉跟22.5的差不多，边用边充基本就是10元数据线的体验。其他挺不错的,3
还好吧，一般，散热不太好，刚开始装软件，目前反应还比较快，比较灵活，京东自营送货就是快，隔天就到，都不给我退货的时间?,3
收到了，还不错，就是刚开机让我升级系统，为什么出厂的时候没有更新呢？应用双开没有微博和拼多多，希望可以改进～拍照效果：很清晰，超广角视野开阔外形外观：云氧真的很好看，就是手机屏太容易脏了，有静电，沾的全是毛毛运行速度：下载了微信和QQ，看了会视频，速度还不错屏幕音效：屏幕很亮，声挺大的待机时间：不清楚，等用一段时间再来评价其他特色：618买有优惠，直播还送了赠品,3
外形外观：不错，颜色绚丽，质感还行屏幕音效：屏幕音效：屏幕确实不错，LCD里算好的了。 声音大，但音效一般拍照效果：一般，扫码够用，略微有点偏色运行速度：运行速度快待机时间：待机耗电略快其他特色：发热略微严重，我不知道那些说吃鸡不烫的是啥想法。高刷确实很香！这价格确实有性价比。我会为了那点豆子违背良心给你写好评吗？想都别想！我这个评价绝对客观公平，豆子你爱给不给，老子不在乎！,3
感觉有点卡，不建议购买！以后不会在京东买手机了产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！?已经多次购买了，家庭必备，购买价格实惠，送货速度很快，?包装也很精美终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接,3
手机很好，包裹很严实，还做了气泡纸加固。手机很轻，内存很大。充电口很好，充电线也与安卓版不一样。不足的是似乎是二手的，我在检查时发现了3月份的储存音频。可能是退货的手机。物流很快，但是从买到发货隔了时间很长。,3
买没到一个月便宜了四百,3
昨天到手上今天就降价200,3
买了不到一个星期就降价了,3
刚刚买没多久又降价了???,3
到家没两天就看到降价了，郁闷,3
东西是好东西，就是一直不退差价,3
很好，客服解决问题及时,2
买回来两天就死机重启,2
啥都不说了，vivo官网还要便宜一百块？,2
申请保价了，客服处理很快,3
手机还可以 就是散热不太好,3
用了几个月手机电池充不满，只能到92%，感觉电池不行。,3
说备注送耳机 结果还是没有,2
没多久就降价了有点重拿着累,3
一般般，什么价钱就是什么样的机,3
外形外观：外观就那样拍照效果： 拍照效果还可以,2
刚买回来就连不上蓝牙又换一个,3
感觉不是太好，凑合用吧,3
拍照不清晰，充电速度打游戏都跟不上来,2
为什么这个G字缺了一点？,3
经常应用闪退怎么回事啊,3
没到一个月，屏幕坏了，已寄回,2
只用这么几天都有点卡顿,2
屏幕感觉黄  还有电池不经用,2
现在还降价  还送耳机  我买的时候啥都没有,3
外形外观：外观有点不同其他的用用在补充,3
手机有点卡，不知道为什么呢,3
暖手，没买多久就降价，以后还是实体店买,3
我才买了半个月，降价就降了好几次。，,2
手机用着还行就是没有耳机送有点遗憾,3
屏幕有点不跟手，其他还没发现有啥问题,3
下巴有点宽，144hz感知不明显,3
拍照效果：拍照不是很好待机时间：待机时间也不好,3
充电器有划痕，感觉就不喜欢了,3
充电没我想的那么快啊   好慢,3
无线网经常会断，信号接受不太好,2
待机时间：续航简直尿崩，看个小说半天,2
有点卡机，千元机算物有所值,3
使用一个多月，超垃圾，经常性显示无s卡，关机重启多次才能解决没网络问题。每次进去微信必定卡住，玩着充电超级慢,3
屏幕触感不好，要点几下才可以,3
就是不送个耳机，就缺个耳机,3
总感觉手机屏幕不太好使是的,3
商品用下来感觉小问题比较多,2
信号接受能力好差。还不如我一千买的平板。,2
以为是vivo，结果不是，拍照片不咋的，后悔了,3
玩游戏时每次连蓝牙耳机都闪退,3
可以退货吗？昨天和今天价格相差几300多,3
手机可以的，就是不配送耳机，还要自己买原装耳机吗？,3
刚买十天都降价快三百？以后还有信任,3
头天买，第二天就搞活动，还不反差价！！！,3
不知道为什么，连wifi信号会不好。,3
