评论,评分
电量下去很快  一会就下去百分之二三十的电  还有像素也不清楚,3
待机时间：嗯，用了也大概十天吧，感觉待机时间没有刚开始两天强，就才十天而已。。。。刘还行吧,3
开始发烫，开始卡了，一个半约吧。,3
总体来说挺好的，就是散热能达到标准,3
手机打开挺不错，全新机。不过什么都没送，耳机也没有，挺不方便的。,3
手机一般手感一般老年人用还可以,3
先不说手机好不好。光看着包装。你觉得我会给你好评么,3
送老人的。外形及声音还好。运行速度及是否好用，等过段时间再追评,3
手机性价比还是可以的，就是对老年人不是很友好,3
普普通通吧 用完苹果手机觉得安卓的 好大 好粗糙,3
摄像头外观掉了点漆。整体还行。拍照效果：还行。待机时间：一般。,2
一般般  wifi信号接收信号不咋地,3
最不好的一次购物，包装都坏了，快递分错，说是客户改地址地址，打电话给京东客服说两小时回电，这都24小时了没有信息，,3
这手机怎么说呢，上手的感觉就跟华强北的一样，屏幕的触感就很一般，感觉两千块钱买这机子有点不划算了,2
好家伙，再不来我都忘了有这个快递。这都好几天了吧！今天终于到了，泡沫包裹?加了冰块，看着不错。试吃了一包，还行，有那么一点家乡的味道。打开第二包，羊汤包装已经侧漏完了，密封性不行啊，羊肉粉注重汤，汤都没了，那这就没法吃了。???包装质量有待改进。,2
感觉耗电还是挺快的,3
买回来就卡，现在很卡才二十天左右垃圾,3
手机发热，烫人,3
买这个手机画了20天左右，第一次运了11天，结果无法开机，退货还需要至少半个月才能退款，换货也得半个月左右才能发货，只好又下一单，第二次下单的手机物流和手机都还挺好的。退款那个投诉到315才给退的，京东自己的售后检测了好几天，然后告诉我说京东售后没有权限检测，得返回厂家检测，还需要一个星期左右。??,3
屏幕清晰度太差了，反应速度也一般，买过就后悔。想退货,2
外形外观：好看屏幕音效：还行运行速度：还可以吧待机时间：不是太长，,3
别的都还可以就是这个电量冲的快用的也快，还不如我用了两年的苹果电量呢。。,3
正在使用 几天后评价,3
有时断网，真实体验，可能系统没优化好，还没以前买的维沃x7好用,3
618买的，价格还可以，但是有出现过好几次断网的现象。,3
个人认为还可以，像素不错，手机电池还可以，不卡,3
电池不行，刚买的手机，没多少分钟就掉了几度，其他的都行,3
颜值还行，掉电太快了每天都要充电，我就看一下朋友圈,3
有一点卡，看一下视频就没多少电了,3
运行速度：wifi频繁断流外形外观：背面塑料手感太软，用点力能感觉到形变,3
这个手机看着还行。用着要在看看。好了在评论。,3
刚来几天玩儿的挺好的，不过这几天玩儿游戏时各种断触，网好好的，人物不受控制的一个劲儿的往前走，服了,3
拍照效果：不咋地待机时间：还好运行速度：还好外形外观：塑料的味太大了屏幕音效：还好,3
手机好看，给家人买的，手机说话的时候偶尔有回声。急用懒得弄了,3
还凑合吧，目前没发现什么问题。用后再评,3
还算可以吧，第一次充电感觉有点发烫，耗电也快，来电视频也不支持，希望快点升级,3
手机挺耗电的 声音很好听，打游戏也爽 就是手机有点耗电,3
外形外观：略显厚重，边框很丑，颜值太低运行速度：速度很快，性价比高,3
外观很好，拍照差点，速度也很快，信号差了点，游戏王者很快，我玩的天龙容易卡机掉线，别的还好吧,3
?收到立马打开看了一下，非常不错，质量超好，颜值又高?  不过有点小耗电，充电也不是特别快,3
手感比想象中好，使用体验不错，为什么不五星？因为后面买比预约划算是什么骚操作？这波营销差评，真是气,3
拍照效果：扫码机外形外观：塑料机屏幕音效：满意运行速度：还可以待机时间：持续掉电掉电比较快，,3
手机整天感觉还可以，就是电池不耐用，轻度使用，大半天就没电了，,3
还好是买给我爸用的，好家伙进入页面居然在转圈圈。,3
屏幕音效：可以拍照效果：一般待机时间：非常不好，续航能力太不喜欢了其他特色：喜欢运行速度：帮,3
怎么说呢，用了几个星期了，功能方面还行，但电池把刷新率改为60还是耗电快，电池方面不行,3
总体来说各种性能都很好，不知道再过一两个月怎么样到时候再看看吧,3
很流畅，有点障碍都没有很完美，游戏运行非常快，值得入手,3
外形外观：感觉还行，右上角的前置摄像头感觉怪怪的屏幕音效：还行待机时间：目前尚可其他特色：没有赠送耳机,3
手机用了一段时间了，感觉很容易发热，同价位的华为感觉比这好很多！,3
运行速度：很快拍照效果：很好屏幕音效：我很喜欢外形外观：很好,3
外形外观：可以屏幕音效：很好拍照效果：拍照是真的不敢恭维了，比我老华为B42太多运行速度：不错其他特色：信号差啊，4g信号太差，通话信号差,3
挺不错的，运行很流畅。系统用着也很舒服，但我只给三星，缺点很明显，电池虽然大，但用电还是很快。希望以后优化一下,3
待机时间：打打王者，看看视频，听听歌够半天了外形外观：个人心满意足运行速度：人网络偶尔有卡顿 其他特色：信号接收不是很好，,3
cpu很棒，屏幕也好，唯一的缺点通话质量不大行，音质还没我之前用两年的红米好,3
给家里母亲买的，试着玩了几下，有时会卡顿，其余的都还挺好，想不明白为啥买个手机没有耳机，还得专门再去买个耳机。,3
外形外观：屏幕窄又长屏幕音效：双喇叭环绕音效果明显。拍照效果：一般运行速度：一般待机时间：一般其他特色：游戏性能强,3
待机时间：感觉好费电玩吃鸡也就玩了两三局就费了三十多个电外形外观：好看屏幕音效：挺好的拍照效果：好运行速度：快其他特色：充电贼快,3
手机看着还行，有一点点小卡顿先用两天在评价,3
打游戏比较烫，网络也不是很稳定，有时候加载不出来，一般般吧,3
买学生用的，我自己用的话不喜欢。操作系统没我的荣耀手机好用,3
还在行吧，他喜欢，就那样，主要是挺快的，啥也没送，耳机什么的都没有，就一个充电器一个透明手机壳，,3
运行速度：大型游戏没玩过，不作评价。抢红包还没我用了两年的华为荣耀十快，掉电速度比例快。整体很一般吧。我用手机要求就是运行速度快，电池耐用，拍照内存要求不高，后悔没买z5！,3
手机发热，这是使用的第三天，游戏还可以，就是容易发热,3
没有耳机和钢化膜?但是本机还可以，如果再有耳机，手机膜就行了,3
屏幕偶尔不灵敏，这个价钱也就这样运行速度：一般屏幕音效：很好外形外观：很好待机时间：一般拍照效果：一般其他特色：有待观察,3
和一款小米手机一起买的可能价格摆在那里说实话这两款就拍照来说感觉还没有两年前买的手机好所幸是给父母买的也就不计较那么多了其它的就不炖赘述了,3
中体还是很好了，但快递不是很快，手机套不是很好，边缘很高，返回操作不是很好操作， 打游戏很快,3
要用性价比来说这个，这个价格的手机配备的这么多东西，确实不错，但是最好戴一个手机壳有点剌手,3
屏幕音效：屏幕挺喜欢就是不太好贴膜拍照效果：一般能扫二维码运行速度：很快外形外观：还行待机时间：还可以毕竟有快充其他特色：用起来挺舒服的,3
打王者吃鸡，特别容易卡，已经排除网络问题，不知道具体原因外形外观：还可以吧待机时间：这个比较满意,3
待机时间：耗电有点快，待机时间不行其他特色：断流严重，打游戏经常460运行速度：还行外形外观：还行屏幕音效：还行拍照效果：一般,3
还可以待机时间：不太好，用电很快，其他特色：充电快 但是用充电宝充电就很慢拍照效果：一般外形外观：还好,3
外形外观：中框感觉不行，总体看上去可以屏幕音效：144hz感知挺好，拍照效果：很一般。。不比我的8p。运行速度：挺快，就是系统用不习惯，还有就是优化不太好待机时间：还不错，可以用一天多。其他特色：mtk挺好的现在。预约的没送蓝牙耳机，还贵50元,3
帮别人买的，希望能好吧！看着网红评价还是不错的，就是实际没用过,3
外形外观：挺好看的屏幕音效：还行拍照效果：很好就是送的手机套没有保护到后摄像头运行速度：有时候还可以感觉也没那么快    特别是我在玩游戏的时候竟然还老是出现白屏从买手机到现在才十天不到出现了四次白屏   不想退货了  太麻烦了   唉待机时间：挺好,3
屏幕音效：屏幕音效不错，就是屏幕显示色彩不怎么好，不够清晰，应该是用高端机久的缘故吧，必竟价格摆在这里，总体来说还是可以吧！运行速度：玩游戏没问题，值得推荐,3
手机过长，宽度过窄，电池待机消耗太快，其他的功能都还行！,3
用了好多天了，还不错，质量挺好的，速度也快！唯一缺点是这款手机不支持快捷方式调整声音大小，必须得使用手机侧面按键，这是硬伤，也是设计者**和缺陷。,3
其它的都可以，手机启用5G网一会4G一会5G，就算开了SA独立组网也是这样一会4G一会5G，vivo手机就败在网络这方面，有没有网速在市中心开了5G网也卡,3
耗电比较快！比我旧手机Z5用啦两年的还要快的多！我也不打游戏！,3
关注很久十一买的 用了几天 感觉还行外形外观：中规中矩屏幕音效：刷新率是个亮点拍照效果：拍照比较差 运行速度：速度挺快待机时间：一天一冲其他特色：快充不错,3
外形外观：外观很炫酷，时尚屏幕音效：屏幕音响都蛮好的，可惜的是没有耳机拍照效果：拍照效果还可以的！毕竟手机性能才是最重要的！运行速度：速度很流畅，待机时间：待机时间反应一般，很耗电,3
待机时间：一般拍照效果：还行，不追求外形外观：看的过去，也是美观大方运行速度：使用一个多月了，自动关机了两次，也不敢说这手机多好，多坏，就是没想象中这么好，手机都没的送，,3
待机时间：买了一个月了，一直用的旧手机，新手机充电跟耗电一样快，晚上充满电，放到早上只剩百分之九十了，跟客服联系不上,3
运行速度：还算不错待机时间：时间长，充电快。其他特色：什么都好，就是国产机现在没有一个公司都做出苹果手机6寸左右的全屏手机，都把绝好的机会都让给苹果！国产手机的超大，超重是一个通病，而且病越来越重。手机太大太重了，每天都拿到手痛。,3
刚入手总得来说 性价比还算可以。  细说的话:这个手机后壳   超级容易粘上指纹。然后就是手机看起来有一点点蠢      充电器头也很大很重    但是手机音效还不错总的来说  这个价钱可以了,3
618期间这价格买的真香，速度很快，但偶尔打电话听对方讲话不是很清晰，不晓得什么原因，在观察观察吧,3
用着还不错，就是很少卖这个机型的手机壳，导致我买不到好看的手机壳,3
感觉反应能力不行,3
外形外观：很好 就是过黑看不出蓝色屏幕音效：声音很大拍照效果：一般运行速度：挺快的待机时间：不太清楚其他特色：性价比很高，但因此很多方面都阉割了 日常体验一般 慎重选择如果不是日常喜欢打游戏的话 这里给个中评,3
外形外观：外观颜色还可以待机时间：待机时间不行，尤其第一次充满电，看了两个一分钟的视频，电量就掉了2%运行速度：偶尔还是会有卡顿,3
拍照不错，但就是电用的挺快的，不耐用！不资道是什么问题,3
外形外观：外观一般，塑料背壳屏幕音效：很不错，双立体扬声器拍照效果：很不错，像素还是刚刚的运行速度：天玑1000+果然不错突然白屏了一下，不懂为什么，屏幕卡住，应用图标全部消失，只能重启。,3
外形外观：好屏幕音效：一般 不过立体声很棒拍照效果：一般般 自拍挺好运行速度：还行待机时间：一般我觉得对得起这个价格，目前使用没啥大问题，打游戏很爽  拍照色彩有点儿失真  系统还有待优化,3
外形外观：可以屏幕音效：可以拍照效果：可以运行速度：可以待机时间：一般其他特色：系统优化不太好用比我之前的noe855版的系统差好远，总感觉屏幕没那么灵敏！信号也没noe855版的差，同一电梯855的4g信号满的打电话上网都飞得起来，z1在电梯里2G信号，服了,3
之前用的Z1感觉很不错，所以今年买了个Z3。但。。。这这这。。。这个手机好卡啊，特别慢，安装个软件安到天长地久，耗电也特别快。感觉不太稳啊。,3
外形外观：还可以，屏幕音效：屏幕显示一般，拍照效果：扫二维码没问题，运行速度：运行速度很快，也许这个就是唯一的优点，待机时间：还不知道，刚刚拿到手，其他特色：发烫严重，用那么多手机来说，这个手机发烫最严重，冬天暖被窝是一个不错的选择，如果接受不了发烫严重的小朋友最好不要买，我是用来玩游戏备用机的，不爆炸就可以了，烫就烫呗，毕竟还没有到可以烫伤人的地步,3
安兔兔跑分五十万以上，刷新率是90，按键比较松，CPU温度基本上保持在55&deg;～75&deg;之间。手机反应速度快。,3
好不容易要了个耳机，给我寄到新疆去了，一个月也到不了，我在山西，从广东发货居然转到新疆。客服让我问邮政，也就是说他们交给快递就不管了，没有时效。售后敷衍可见。,3
用了快一周的真实感觉，目前感觉流畅度一般，没有最开始流畅，有时候能够感觉明显的卡顿，充电速度确实挺快的，解锁的时候效果很奇怪，每次都是先出壁纸在出图标，息屏的时候总会有暗边，大致的体验还是不错。,3
运行速度：快，144刷新率看不出来外形外观：下巴比较宽屏幕音效：耳机插孔接触不良，插到底不管用，插一半活动着有声音待机时间：充电挺快,3
其他都还满意，新机器耳机插孔就接触不良，插到底不管用，插一半倒是有声音，不能总是用手扶着啊，那要耳机有什么用,3
手机用着还行，还有没耳机，电不耐用，放着不用都能耗30%的电,3
这个手机拿到手上手感还行，1千多入手确实挺实惠，处理器骁龙七系列，打游戏也就那样，平常用很不错，我重点就提下那个快充啊，这个快充速度是真快，不愧是55w的功率啊，,3
充电快 耗电也很快 待机八个小时耗电百分之五一天可能要充两次电 其他的挺好,3
外形外观：好差，廉价感满满的屏幕音效：屏幕用的lcd的很一搬的，音效也是个渣拍照效果：拍照还可以，美化的都不像自己了运行速度：这个没试，就退了待机时间：还可以，没用，一夜掉三个电其他特色：我退了，换的荣耀30。还没有寄到，对比去荣耀30哪里去看看吧，哈哈哈。这个手机唯独cpu不错，其他的别班包太大希望，没有宣传的好！所以退了。,3
外形外观：好看屏幕音效：。。。。。拍照效果：没我用了两年的Z5x效果好，可能高科技不会玩运行速度：读取慢，网络原因？待机时间：待机时间：睡觉 六个小时掉了十格电。正常用一天应该可以其他特色：没敢玩游戏，怕失望。工作用，不下游戏了,3
"外形外观：就一般般吧，也没有很惊艳的感觉。边框和和后壳都是塑料合成材料，加了镀了薄膜。有种发光效果屏幕音效：音乐?是不错的，听起来很立体拍照效果：拍照也不错，但前置摄像头是真的大运行速度：天玑1000plus不是吹嘘的待机时间：到的时候有46%,用了到15%。不到一个小时就充满了。正常用一天不是问题其他特色：我用了两天才来评论的，感觉中规中矩",3
经常卡外形外观：一般屏幕音效：还行拍照效果：可以运行速度：卡慢待机时间：还好,3
手机很轻便，耗电太快一天要充两次，充电时间挺快的，一个小时左右就充满了,3
外形外观：正面还可以，就是挖孔屏容易藏灰，还有后盖做的不好，塑料非常容易刮花，用了几天就明显看到划痕！屏幕音效：不好，跟6**不是是一个级别拍照效果：还不错，属于正常水平运行速度：还好，就是信号会断流吧待机时间：挺好的，用一天还有30其他特色：没有耳机送，如果不是搞特价不值得买,3
手机流畅，运行速度快，拍照效果好，拍照清晰，但是耗电量消耗快，还会有点发热,3
产品很惊艳，看起来蛮高大上的。性价比合适，希望用的长久！用了一小段时间了，玩王者的话，还不错。充电蛮快的，电池相对之前的机子似乎也耐用一些。也可能是新机的原因就一个问题，当时买的时候，直播间说送电宝，客服也说帮我登记了。至今没收到东西！！！！！！！！,3
外形外观：可以，就是塑料壳屏幕音效：录视频有杂音拍照效果：很好运行速度：大部分时候可以，个别时候卡顿待机时间：正常用，两个小时左右，游戏或者视频，电量就没剩多少了其他特色：充电我没有描述的那么快，但基本可以。总之，这个价位，还行吧,3
6+128的，手机转移完照片，视频就开始卡了，还没有下软件，充电挺快，老人机应该够用,3
外形外观：不好看，平庸。运行速度：不够快，有时候卡顿了待机时间：还可以，玩游戏宇航不错拍照效果：过得去，没苹果效果真实其他特色：有一次打开腾讯视频和斗鱼看不到视频，卡顿，需要重启才恢复正常！,3
"运行速度：刚开始看小说那软件时卡顿，触摸一直没反应，其他应用没问题，不知怎么回事。拍照效果：平常用来扫码而已，不过试拍了还挺清晰，美颜效果也很好。待机时间：这个太不满意了，中度使用都不了一天，还不如我的旧neo 855,耗电实大太快了，你是不是充电也确实很快。屏幕音效：双扬声器是比我的旧机好很多，屏幕效果确实不错。",3
手机外观还是很漂亮，重量适中，手感还可以，就是拍照不是很清晰，噪点比较多，未下载其他任何APP，运行起来不算很快。不知是优化问题还是处理器不行，延迟还是比较明显，够用。,3
外观，运行，拍照都还挺不错，就是没有任何赠送的东西，耳机都没有，有点失落，送给爸妈的，,3
不知道原厂的屏保怎么回事，老是有静电。吸灰尘。新手机都一样。用着都挺好的。不知后续会不会出问题。用着再说吧。,3
太垃圾了。才几天就降价了。就京东在挺着。官网都降价了。恶心,3
外形外观：不错运行速度：还可以拍照效果：好屏幕音效：还不错待机时间：再观察几天好用的话在追加,3
外形外观：重量比较轻，看上去像玻璃，到其实是塑料后盖，挖孔略大，还好在右边。屏幕音效：LCD屏嘛，效果差点，大家都懂，双扬声器还行。拍照效果：拍照也不是这个手机的强项，扫个码还是没问题的。运行速度：跑分跑了51万，成绩还不错，但不知道为啥，玩了一会保卫萝卜居然都时不时还卡一下小白鼠我来当！待机时间：充电挺快，续航也不错，全天开启144HZ，都能用一天。其他特色：JOVI是真难用，一次没成功过，但不管怎么样，对得起这个价位。,3
用了一段时间，总体感觉可以，就是有时候有断触现象，音效，航续都还行，打游戏还可以，拍照就相对来说差一点，不过本来就是游戏机，充电也挺快的，吃顿饭差不多就满了，总体来说还行，,3
待机时间：电池真心不耐用，别说深度玩家了，我偶尔刷刷网页，都只能撑到下午，还有信号比华为差一些。同样地方，同样的电信运营商，刷电信视频，华为手机很少卡顿。当然，相对于价格来说，总体还是能接受。流畅度还行，手机性能也是很好的。,3
外形外观：屏幕细长，机身有点厚，后盖的塑料感觉好软，按一下会动。只看外观的话还不错。屏幕音效：还可以。不过外音声音大点手机震动感很大很明显。拍照效果：一般，对这个需求不大。运行速度：流畅待机时间：还行。连续刷剧能用7个小时左右。充电很快，一个小时多点充满。其他特色：总体来说手机还不错，给中评是因为预售太坑。6.1直接买的还能多送个蓝牙耳机，但是想了下预订能优先发货也不错，但是别人直接买的都到了我还没发货，什么优先发货也是骗人的。等了两天才发货。对这个预售真的失望。,3
用了一段时间，发现一些小问题。1.头几次充电，接通电源后立马显示快充动画，进去快充模式。但是现在接通电源后要过个几十秒才有快充动画，有时候甚至直接不显示快充动画，这时候充电很慢，15分钟只充了6%的电，需要拔了重新连接2.同一张卡手机信号没我之前手机强3.打游戏的时候感觉不到太耗电，但是日常使用感觉耗电有点快4.WIFI经常不能自动切换到信号更好的那个，需要手动切换5.我打王者有时会突然460，然后一直卡着不动，需要切换下网络或者重新连接下网络才行6.打游戏开语音有时不能听到对方说话，有时对方听不到我说话7.前置摄像头周围一圈亮度比较暗淡不知道是不是正常的,3
外形外观：好看的屏幕音效：音质不好，拍照效果：像素不OK，自带的美颜过于强大运行速度：还OK待机时间：不玩的话一个晚上耗电百分之五左右，听一晚上音乐耗电百分之十五其他特色：耗电太快，充电也很快,3
"用了一阵子来评价，发热也没那么严重，充电速度还行，游戏体检尚可。总体来说没有大的缺点，也没有大的优点，比较中庸的产品。优点:玩现在的主流游戏都可以可以，屏幕支持高刷新144Hz,充电速度尚可，就是要天天带着这个充电器，再买个充电器的话价值不菲。正常使用的话，充满电出门不玩游戏可以支撑到下班。缺点:存储还是老的usf2.1的，不支持3.0,虽然优化的比较好，但是也只是比普通的2.1块而已。其次，内存也只有ddr4X,速度和5差了一倍。既然做性价比旗舰游戏机，看来还是走高通的比较有优势，毕竟天机性价比高的还是820系列。1000系列优化不足，性价比较低了。",3
手机很好，别听她们瞎说，发热一般正常，系统也没问题，没出现什么不良情况。中评的原因是一个星期才发货，收到的手机是6月份出厂的，也就是4个月前的库存货，一千七百二十买的8+128。手机很好，性价比很高外形外观：漂亮屏幕音效：好，外音大时有点震动拍照效果：一般，够用，只扫码运行速度：非常快，流畅待机时间：具体没测试过，一晚上睡觉大约2-3个电,3
用了几天，对我来说有些优缺点优：1、颜值不错，银色渐变色很漂亮，随机贴好了保护膜，自带的手机壳也可以2、速度快，操作一般运用时很流畅3、双声道效果不错，音量大，还带单独的耳机孔一般：1、拍照效果一般2、电池续航一般，一天一充缺：1、没有呼吸灯，有些不方便2、通话记录只能导入3000条（导了多次，试了几个APP）,3
这款机内置的大部分APP都可以卸载，不能卸载的可设置不推送消息。手机单手可握，侧面指纹用起来也很顺手，这些也好评。无呼吸灯和只能存3000条通话记录这点对做销售，业务的来说有点不方便，但手机娱乐性强，整体来看，值得大部分用户购买。,3
