评论,评分,分词
待机时间开玩笑看了一小时小说扣了百分之二十电手机还严重发热也太了吧,1,待机时间 开玩笑 小时 小说 扣 百分之二十 电 手机 严重 发热 太 
产品质量有问题麦克风说话模糊不清手机有刮痕售后然后还说是自己搞得还得不到解决尽量不要入坑,1,产品质量 问题 麦克风 说话 模糊不清 手机 刮痕 售后 说 搞 得不到 解决 尽量 不要 入坑 
手机好重拿得我手腕累有时会卡顿白屏屏幕显示有些小问题我也没玩过游戏至于好不好用也就这样用了找客服售后也没用真没办法,1,手机 好重 手腕 累 会卡顿 白屏 屏幕显示 问题 没玩过 游戏 好不好 找 客服 售后 没用 真 没 办法 
我只能说这种垃圾手机都能被吹得这么过分我真的想笑买来赠品被吃了第二天手机充不进电屏幕半边时而失灵,1,只能 说 这种 垃圾 手机 吹 过分 真的 想 笑 买来 赠品 吃 第二天 手机 充不进 电 屏幕 半边 时而 失灵 
手机发烫严重电池掉电太厉害安兔兔评测竟然评测不下去,1,手机 发烫 严重 电池 掉电 太 厉害 安兔 兔 评测 竟然 评测 下去 
特地买来吃鸡的现在气温玩吃鸡都这么烫手了夏天不知道热到多少度了谁还愿意拿着这手机玩游戏掉帧也严重,1,特地 买来 吃 鸡 现在 气温 玩 吃 鸡 烫手 夏天 知道 热到 多少度 愿意 手机 玩游戏 掉 帧 严重 
特地买来玩吃鸡的烫手的很现在都这么热了天气热的时候还玩个毛线耳机还不是标配的被坑了,1,特地 买来 玩 吃 鸡 烫手 现在 热 天气 热 玩个 毛线 耳机 标配 坑 
手机真的一般最差的就是电池耗电实在太快了一天要充三次以上电玩王者一局就要百分之十电量我还没有开实在太让人失望了,1,手机 真的 最差 电池 耗电 实在 太快 一天 要充 三次 电玩 王者 一局 百分之十 电量 没有 开 实在 太 失望 
非常卡新手机怎么处理明天在试试不行就退机希望处理刚到的传奇版我也不知道是不是假机子玩着王者接个电话屏幕上的人物地图来来回回的晃还会来追评若有改善再补评下班再做个测试非常失望问了客服就是喊清理垃圾缓存我说了个若明天还出现卡顿就退货客服说了一句感谢支持真佩服,1,非常 卡 新手机 处理 明天 试试 不行 退机 希望 处理 刚到 传奇 版 知道 是不是 假 机子 玩 王者 接个 电话 屏幕 人物 地图 来来回回 晃 会 追评 改善 补评 下班 做 测试 非常 失望 问 客服 喊 清理 垃圾 缓存 说 明天 出现 卡顿 退货 客服 说 一句 感谢 支持 真 佩服 
新机到手就没电了充完电使用了几分钟手机发烫得厉害最差劲的一次购物体验,1,新机 到手 没电 充 完电 使用 几分钟 手机 发 烫得 厉害 差劲 一次 购物 体验 
手机质量很差京东服务也很差退换需要个工作日处理问题也很慢不能给我们消费者合理的权益,1,手机 质量 很差 京东 服务 差 退换 需要 工作日 处理 问题 很慢 不能 消费者 合理 权益 
耗电贼快晚上充满电第二天早上起来掉电手机发热特别严重断流断触,1,耗电 贼 快 晚上 充满 电 第二天 早上 起来 掉电 手机 发热 特别 严重 断流 断触 
对先买的用户非常的不友好严重的割韭菜这个品牌的手机实在是太不保值强烈建议大家不用购买了这次已亲身体会,1,先买 用户 非常 友好 严重 割 韭菜 品牌 手机 实在 太 保值 强烈建议 不用 购买 亲身 体会 
手机太差了建议大家不要再上当七天无理由退货就是欺骗消费者快递员不来收件就算了就打个电话告知我说电子产品拆封了一律不准退公司规定的还故意更改时间拖延客服也是敷衍了事什么世道啊还没法处理你了,1,手机 太差 建议 不要 上当 七天 理由 退货 欺骗 消费者 快递 员不来 收件 打个 电话 告知 说 电子产品 拆封 一律 不准 退 公司 规定 故意 更改 时间 拖延 客服 敷衍了事 什么世道 没法 处理 
确实挺辣鸡的还不如买小米手机才用没几天就出现卡顿反应速度还不如我之前用的华为我跟我对象都买的这款手机我先买她后买送她耳机不送我耳机同款同价位只是颜色不同失望透了,1,确实 挺辣鸡 买 小米 手机 没 几天 出现 卡顿 反应速度 之前 华为 对象 买 这款 手机 先买 买 送 耳机 不送 耳机 同款 同价位 颜色 不同 失望 透 
充电是真心快但是用的过程发现一系列问题首先就是电脑登录用手机扫描登录扫描不了然后到实体店购物付款的时候扫描商家二维码要好长时间拍照效果真心差劲,1,充电 真心 快 过程 发现 一系列 问题 电脑 登录 手机 扫描 登录 扫描 不了 实体店 购物 付款 扫描 商家 二维码 好长时间 拍照 效果 真心 差劲 
作为老粉实在是失望到极致掉电快到离谱玩个游戏卡帧掉帧也就算了重点是发热也很严重你很难想象居然会热到烫手真的很影响心情一星都不想给,1,老粉 实在 失望 极致 掉电 快到 离谱 玩个 游戏卡 帧 掉 帧 重点 发热 严重 难 想象 居然 会热到 烫手 真的 影响 心情 一星 不想 
待机耗电贼快一晚上掉个真垃圾这续航打游戏耗电快就算了待机还那么耗电,1,待机 耗电 贼 快 晚上 掉 真 垃圾 续航 打游戏 耗电 快 待机 耗电 
垃圾手机刚打开一点电都没有冲了一会电然后手机发热关机状态下有持续震动的状况真搞不懂关机状态手机还会震动,1,垃圾 手机 刚 打开 一点 电都 没有 一会 电 手机 发热 关机 状态 持续 震动 状况 真 搞不懂 关机 状态 手机 还会 震动 
手机听筒的位置空隙都可以插进卡片了一个防尘措施都没有还有打王者的老是或多或少出现大大小小的毛病先不说掉帧严重这个这个进游戏界面时不时给我来个竖屏是个什么鬼,1,手机 听筒 位置 空隙 插进 卡片 一个 防尘 措施 没有 王者 老 或多或少 出现 大大小小 毛病 先不说 掉 帧 严重 进 游戏 界面 时不时 竖 屏 鬼 
收到后打开手机盒里面就一个手机壳一部手机和充电器就件东西感觉网购手机有点拆飞机买零件实体店售后很方便问客服为什么不给送一个钢化膜让我自己在京东买一张钢化膜网购比实体店比现实生活更现实,1,收到 打开 手机 盒 里面 一个 手机 壳 一部 手机 充电器 就件 东西 感觉 网购 手机 有点 拆 飞机 买 零件 实体店 售后 方便 问 客服 送 一个 钢化 膜 京东 买 一张 钢化 膜 网购 实体店 现实生活 更 现实 
真的无语一个新手机从早上到现在没怎么用现在只有这点电华为和小米玩套路本以为实在抢了个新机给我泼了一套冷水真无语,1,真的 语 一个 新手机 早上 现在 没 现在 这点 电 华为 小米 玩 套路 实在 抢 新机 泼 一套 冷水 真无语 
买手机送的硬壳没几天就把手机刮花了手机的四个角都花了太抠门了不满意,1,买手机 送 硬壳 没 几天 手机 刮花 手机 四个 角 花 太 抠门 满意 
那个手机用了几天就出问题了喇叭呲呲啦啦的现在京东给换了一个不知道怎么样反正差评浪费老子时间,1,手机 几天 出 问题 喇叭 呲 呲 现在 京东 换 一个 知道 反正 差评 浪费 老子 时间 
续航能力太差无论是玩游戏看电视还是导航一小时差不多掉电百分之左右,1,续航 能力 太 差 无论是 玩游戏 看电视 导航 小时 差不多 掉电 百分之 左右 
辣鸡手机充满放一夜直接掉百分之的电开省电模式一下午掉了百分之第一次买蓝厂手机坑的够够的啦大家千万别被骗了手机发热超出你的想象,1,辣鸡 手机 充满 放 一夜 直接 掉 百分之 电开省 电 模式 下午 掉 百分之 第一次 买 蓝厂 手机 坑 够 够 千万别 骗 手机 发热 超出 想象 
视频一个小时给我卡死自动关机了三次什么意思我一边视频一边看相册就给我卡死了给个解释,1,视频 一个 小时 卡死 自动关机 三次 意思 一边 视频 一边 相册 卡死 解释 
垃圾发热严重晚抖音都是烫的安兔兔跑分之一就温度过高强行退出,1,垃圾 发热 严重 晚抖音 烫 安兔 兔 跑 分 温度 过高 强行 退出 
已经申请了两次换货了现在是第二次中号寄回手机售后收到后就一直检测中了每次问都是检测中我月买的手机马上月了就没摸过几次就是处于有问题换货流程中问就是请稍等能理解这个心情么有多糟心,1,已经 申请 两次 换货 现在 第二次 中 号 寄回 手机 售后 收到 一直 检测 中 每次 问 检测 中 月 买 手机 马上 月 没 摸 几次 处于 问题 换货 流程 中问 请稍等 理解 心情 糟心 
在线上买的体验最差的手机收到货没两天别说快充了充电电器坏了都充不进了申请换货了之后售后说是充电器坏了寄了一个新的充电器过来第二天一试还是同样的问题又不给退货只能换货,1,在线 买 体验 最差 手机 收到 货 没 两天 快充 充电 电器 坏 充不进 申请 换货 之后 售后 说 充电器 坏 寄 一个 新 充电器 过来 第二天 一试 同样 问题 退货 只能 换货 
严重差评盒子一点护没有机就更不用说垃圾一台玩个王者开个超频极致玩了不到分钟手机温度接紧多度暖手宝一样这还王者官方机笑死问客服客服叫去售后看一下呵呵申请退货吧,1,严重 差评 盒子 一点 护 没有 机就 更 不用说 垃圾 一台 玩个 王者 开个 超频 极致 玩 不到 分钟 手机 温度 接紧 多度 暖手 宝 王者 官方 机笑 死 问 客服 客服 售后 一下 申请 退货 
买的下单时没有预约提示下完单就成了等待发货状态何时发货没有提示过了好几天联系客服经查说是号发货为什么不能在订单页面给客户提示呢等到号晚上十点多了还是没有发货再次联系客服居然还一本正经地告诉我号发货难道不清楚号马上就过去了吗客服对于客户的质问就是搪塞没有歉意没有帮助解决问题的意思手机最后是月号收到的京东的服务可以说是极差,1,买 下单 时 没有 预约 提示 完单 成 等待 发货 状态 发货 没有 提示 几天 联系 客服 经查 说 号 发货 不能 订单 页面 客户 提示 号 晚上 十点 没有 发货 再次 联系 客服 居然 一本正经 告诉 号 发货 难道 清楚 号 马上 过去 客服 客户 质问 搪塞 没有 歉意 没有 帮助 解决问题 意思 手机 最后 月 号 收到 京东 服务 说 极差 
手机差死了才买回来天就坏了出现手机打电话别人听不到我这边的声音微信语音给别人完全是卡那里一天卡出界面问客服他们这边是不换不退说超天了只能保修了狗了买不到个月半的手机拿来保修真是没看到这么差的手机多买还不如华为不会再回购,1,手机 差死 买回来 天 坏 出现 手机 打电话 听 不到 声音 微信 语音 完全 卡 一天 卡出 界面 问 客服 不换 退 说 超天 只能 保修 狗 买不到 月 半 手机 拿来 保修 真是 没 看到 差 手机 买 华为 不会 回购 
刚买的手不到一个月手机充不上电完全开不开机线下服务中心说是要拆机检查果断选择退换而且换新的周期还特别长个人感觉体验感极差特别失望,1,刚买 手 不到 一个月 手机 充不上 电 完全 开 开机 线下 服务中心 说 拆机 检查 果断 选择 退换 换 新 周期 特别 长 个人感觉 体验 感 极差 特别 失望 
从没给过差评这次是真的懵抢的享换新版外地调货等了几天才到没有耳机和背包送忍了被告知不带享换新那我到底抢的是啥寂寞吗,1,从没 差评 真的 懵 抢 享换 新版 外地 调货 几天 没有 耳机 背包 送忍 告知 不带 享换 新 到底 抢 寂寞 
看半小时新闻电量直接掉轻度使用天重度使用也就小时就没电了太垃圾了后悔买,1,半小时 新闻 电量 直接 掉 轻度 使用 天 重度 使用 小时 没电 太 垃圾 后悔 买 
包装很差超级差所有角都变形的然后系统也不好用的然后该发热的还是会发热总体上不能令人满意,1,包装 很差 超级 差 角 变形 系统 不好 发热 会 发热 总体 不能 令人满意 
什么垃圾客服我买的蓝牙耳机套装就给我发了手机蓝牙耳机说会补货问什么时候发过来开始说两三天现在干脆不理我了估计明年才有希望了,1,垃圾 客服 买 蓝牙 耳机 套装 给我发 手机 蓝牙 耳机 说会 补货 问 发过来 说 两三天 现在 干脆 不理 估计 明年 希望 
这次手机没有想象的好没有初版电池耐用放着不动睡醒掉的电量最坑的的是送了个卡我开了一下一看是广东的合约号我一石家庄人用广东号我也是醉了没有石家庄号就别瞎送,1,手机 没有 想象 没有 初版 电池 耐用 放着 不动 睡醒 掉 电量 最坑 送 卡 开 一下 一看 广东 合约 号 石家庄 人用 广东 号 醉 没有 石家庄 号 瞎 送 
千万别买真是后悔用电不是一般的快而且不充电打一局王者手机都烫的不行了打电话声音特别小视频也一样开最大声也不行真是最后最后一个最后悔的一个手机没有之一,1,千万别 买 真是 后悔 用电 快 充电 一局 王者 手机 烫 不行 打电话 声音 特别 小视频 开 大声 不行 真是 最后 最后 一个 后悔 一个 手机 没有 
别的店都有赠品耳机双肩包而我什么也没有包装还是破的给个破手机卡我要那玩意没用啊失望客服服务很慢两天慢慢的什么都没有不开心,1,店 赠品 耳机 双肩包 没有 包装 破 破 手机卡 我要 玩意 没用 失望 客服 服务 慢 两天 慢慢 没有 开心 
四千多的手机还不如别人一千多的手机信号好都是用的大王卡用了两个月的体验得出的结果专业游戏手机信号都不能保证也配叫专业游戏手机,1,四千多 手机 一千多 手机信号 大王 卡用 两个 月 体验 得出 专业 游戏 手机信号 不能 保证 配 专业 游戏 手机 
屏幕真的垃圾现在偶尔会出现花屏闪屏,1,屏幕 真的 垃圾 现在 偶尔 会 出现 花屏 闪屏 
太差了拆开就有磕碰手机烫得很退货快递员威胁说拆封的手机公司一律不准退没有为什么公司规定的请问七天无理由退货是欺骗消费者吗找客服也是敷衍了事我该是报新闻还是报警呢,1,太差 拆开 磕碰 手机 烫得 退货 快递 员 威胁 说 拆封 手机 公司 一律 不准 退 没有 公司 规定 请问 七天 理由 退货 欺骗 消费者 找 客服 敷衍了事 该是 报 新闻 报警 
无语莫名其妙的闪退而且自己跳转页面有些地方还不如我用了两年多的旧手机,1,语 莫名其妙 闪退 跳转 页面 地方 我用 两年 旧 手机 
不知道说什么安卓机掉价就是厉害拼多多百亿补贴它不香嘛这才多久就掉了无语,1,知道 说 安卓机 掉价 厉害 拼 多多 百亿 补贴 不香 多久 掉 无语 
从下单到收货半个月要是没有现货提前告诉啊京东物流太次了发货到收货四天时间最可气的是几公里的路两天才送到京东太让人失望了,1,下单 收货 半个 月 没有 现货 提前 告诉 京东 物流 太次 发货 收货 四天 时间 最可气 几公里 路 两天 送到 京东 太 失望 
差评只是纯粹对物流的评价第一次感觉自营的物流这么差劲物流差劲差劲差劲手机充电确实快耗电也快耗电应该是芯片的问题其他方面中规中矩双压控不是很好用,1,差评 纯粹 物流 评价 第一次 感觉 自营 物流 差劲 物流 差劲 差劲 差劲 手机 充电 确实 快 耗电 快 耗电 应该 芯片 问题 方面 中规中矩 双压控 
我买到的有断触问题换货是真的慢这是第二部爱哭以后是不会在买了,1,买 断触 问题 换货 真的 慢 第二部 爱哭 以后 不会 买 
换了三次还是掉网没有专业人员来解决问题对续航要求高的别买掉电太快,1,换 三次 掉 网 没有 专业 人员 解决问题 续航 要求 高 买 掉电 太快 
用了快一个月感觉有点卡充电比刚买慢了很多不能边打游戏边充电不然会发热多度呢,1,快 一个月 感觉 有点 卡 充电 比刚 买慢 很多 不能 打游戏 充电 会 发热 多度 
待机时间待机时间特别短电池电量不耐用电池充满一天都没玩一个小时晚上没电了这个电量服了太耗电了,1,待机时间 待机时间 特别 短 电池电量 耐用 电池 充满 一天 没 玩 一个 小时 晚上 没电 电量 服 太 耗电 
说好的游戏机呢充电是挺快王者荣耀老是闪退卡死气死我了我数据重新清理了一遍也不行王者每次卡主我都掉线,1,说好 游戏机 充电 挺快 王者 荣耀 老是 闪退 卡死 气死我了 数据 重新 清理 一遍 不行 王者 每次 卡主 掉线 
产品太垃圾了屏幕很不灵敏截图保存图片超级慢截图也不好截图耗电太快,1,产品 太 垃圾 屏幕 不灵敏 截图 保存 图片 超级 慢 截图 不好 截图 耗电 太快 
差评速度还没快很卡售后客服服务态度极差售前说好的签收后送耳机的售后问客服推三阻四的说要排队登记送不知道何年马月能拿到呵呵送快递的么送在门卫这四千多块的手机没有本人签收吗就是这么随便门卫一扔好了丢了算谁的,1,差评 速度 没快 卡 售后 客服 服务态度 极差 售前 说好 签收 送 耳机 售后 问 客服 推三阻四 说 排队 登记 送 知道 何年 马月 拿到 送 快递 送 门卫 四千多 块 手机 没有 签收 随便 门卫 扔 丢 算 
这才用了几天啊电池不怎么耐用手机还很卡什么骁龙都是胡扯谁买谁上当,1,这才 几天 电池 不怎么 耐用 手机 卡 骁龙 胡扯 买 上当 
我这个是换货哈因为准备换的时候是第八天退不了货了这个手机请大家考虑清楚真的能退我就退了也不在这折腾自己换货了搞得过年没手机用了,1,换货 准备 换 第八天 退 不了 货 手机 请 考虑 清楚 真的 退 退 折腾 换货 搞 过年 没 手机 
