评论,评分
拍照效果：可以，就是时间一长，发热严重。外形外观：不错。运行速度：和骁龙还是没法比,3
手机轻薄，外观漂亮，拍照效果很好，但是耗电有点快。,3
vivo手机其他功能还行，电板是真不耐用,3
影像人物不清晰，没我旧的那台vivo好用。,3
手机刚冲完电，拔下电源，就剩99%了。,3
X60到了，外观，物流都挺好，就是感觉掉电有点快，不知道什么原因,3
希望厂家帮我确认是否手机是原装出厂，不要是柜台摆件,3
买完去实体店问了一下，谁知道实体店比网上便宜500呢。而且也买早了，可选内存很少,3
摄像头，流畅度都挺满意的。就是无线网接收信号不强，以前用的手机都能接收的无线网信号。这手机一直掉线。,3
外观漂亮！拍照清晰！耗电快，我需要的是稳稳的续航！,3
好轻，手感觉还可以。,3
这是拍照效果还行，但是耗电说真的太快了，最不满意这个。,3
外形外观：不错拍照效果：一般运行速度：很快待机时间：还可以其他特色：拍照拍的远   这手机没有投屏 难受?,3
有投屏 是我自己没有找到 不好意思,3
智能屏不错，手感也不错，运行拿华为差远了。还有那个5G，真心不如4G好用！！！,3
用电很快，感觉一般，本来新手机电量能用好几天的，这个手机一天要充一次,3
其他都挺好的，但是电池一点不经用，我一直用的都是x系列的vivo手机，不过这款x60让我很失望?,3
在用了，还可以，拍照！。,3
感觉一般  我之前的手机也是vivo  但感觉这个x60耗电真的快  而且容易发热  后续再看吧,3
屏幕音效：相当好拍照效果：非常好待机时间：相当好运行速度：非常差外形外观：太厚,3
主要问题就是发热，没玩多久就发热，充电也发热，更别提其他的了。第二个~视频和号码通话声音小，家里人说开免提听我这边声音才刚好。第三个信号差，老是断网就很无奈。准备退货～～,2
外形好看，但是发微信视频时的像素就不太行了，和我的荣耀30**起来模糊的一批。,3
除了拍灯光会有炫光，其他方面挺好的,3
现在的京东自营真的不知道是搞什么鬼的，售后售后差的要命，产品产品也差的要命，原先是买了一部x50，后来拿到手开不了机，几番周折把它给退了，再换乘x60，让我说啥好？,3
手机有点卡,3
济南京东营业部出来  还要跑去德州再回来  真服气  害我多请了一天假,2
不知道是手机卡，还是网络卡，不怎么好用,3
快递送到神速，就算特殊时期京东快递也不掉链子，比~不止快那么一点点，而是不在一个水平线上，昨天下单今天就到了，真好！话说手机拿到手上，下载软件的时候，机身发热真的是不太满意了，联系客服说属于正常现象我也是无话可说了，除了机身容易发烫以外，其他还没有发现不好的地方，先用用试试看，后期再详细评价吧,3
商品价格不稳定，有点违反公平交易原则。消费者购物后要随时关注商品交个变化，影响购物体验。,2
电池是硬伤,3
外形外观：颜值没得说，很靓丽。屏幕音效：音效一般般，立体声不不咋样。拍照效果：当焦距调到8倍以上，所取的景物，就跟波浪一样在屏幕上到处摆动，这这项技术不成熟。运行速度：运行速度还可以。待机时间：待机时间一天一充吧，其他特色：其他嘛，功能比较齐全。,3
刚拿到手感觉包装不错，配件齐全，打开后颜色也很喜欢，运行速度挺快，戴上手机壳后感觉太厚了，像板砖。先是对应用软件进行了升级，感觉网速挺快，安装等了很久。然后安兔兔测评33万分出乎意料的结果？！拍了几张照片，离预期有差距。也许还没开发明白，再考验考验吧！,3
手机还可以吧，拍照非常不错，拿在手里质感不错，充电比较快，散热一般，有时候手机会有点烫,3
电池是硬伤,3
刚收到手机用了两天，目前发现手机存在充电发烫问题，其他暂未发现，使用一段时间在评价。,3
机子外形不错，电池不够用，看两三小时视频就只剩百分之四十的电了。,3
外观真的棒，很轻。用惯了miui 这个系统对比之下就有点卡顿了摄像的话还在研究中游戏性能够用,3
总体还行吧，对它预期有点高了缺点：信号是真的差，就放个音乐都要加载半天这个不知道是5g的问题还是手机本身的问题 开了指纹耗电是真的快，不玩儿一天一充手机比较厚重，跟以往的vivo外观上还有待改进（我是vivo粉）优点：拍照确实没得说超美，像素刚刚的，音质清晰音量大，完全赶超老人机了  新手机用着反应迅速,3
外形外观：偏大偏厚偏重屏幕音效：屏幕清晰，音效一般拍照效果：近拍对焦快成像清晰，5倍以上基本没用，60倍吹牛运行速度：还可以待机时间：比我旧机长其他特色：不需要的自带软件删不掉,3
外形外观：外观一般，比较厚重，手感一般屏幕音效：不错拍照效果：看中拍照才留下来了，看这么厚都想退货了运行速度：速度还行待机时间：还可以其他特色：太厚，早知道等oppo reno3,3
感觉屏幕一闪一闪的，而且没有摔过手机，从到货就很爱惜，来信息提示音都嘶哑。屏幕音效：不清晰待机时间：短外形外观：好看,3
手机发热严重,3
电池不理想其他还行，运行速度新机暂时看不出毛病，但是有一次刷朋友圈字一直在抖不知道什么情况,3
这个价位居然是塑料边框！？！？！？系统很漂亮，但是设计逻辑还是有点混乱，手机相机不错，性能还行，不过我还是比较喜欢花厂,3
手机外观比较好看，拍照不错，各方面用着都不错，但是电量不行，电量不经用，新手机也要一天一冲，如果用的比较多，都撑不到一天，这点我觉得是最大的bug,3
"这款掉电很快，这是手机很大的bug,更新了系统一样还是掉电很快，不看电影不玩游戏也撑不了一天，早上充满的电，下午两点多就快没电啦，令人失望～",3
机身容易吸灰尘，用了两个多月，喇叭已经坏了，打电话听音乐就是咔咔那种声音，很不满意,3
外观漂亮，不算保电，手机会发烫，不是充电玩的情况下，还是之前的手机好用，用过这个之后换回原来的牌子,3
手机用起来还行，用了一周，目前发现手机移动数据不是很好用，经常掉线。作为游戏手机可能不大行，作为拍照手机还是可以的,3
外形外观：外观新颖，和老牌光学大厂蔡司合作，映射了一个小蓝标，逼格满满，相信网友又有新梗了。色彩搭配不错，摄像头区域方方正正。正面修长，就是屏幕下巴比较大。屏幕音效：屏幕颜色感觉还行吧，买给女友用的，满足一般日常使用就好。拍照效果：自带滤镜，防抖效果很好。确实有稳定器的感觉了，和我的大疆如影的感觉累死，比如我快速掉头，摄像头会慢慢的转移画面，而不是瞬间跟着你转过去，给了一个过度的感觉。运行速度：这配置，ufs3.1的闪存，不会卡的新手机。待机时间：正常使用一天吧，这一点吐槽一下vivo公司，x系列为什么只能上33W快充，你家iqoo7都上120W了。最后吐槽，京东1月8号页面明明写着plus会员购物返3798京东，实际只返现了2088京豆，找客服也不承认这次活动。你们坑不坑!,3
待机时间：重度使用只能撑半天，而且充电速度很慢，还没之前的旧手机充的快，特别是边充边用的时候一小时才充了10％的电量其他特色：拍照不错，外观也很好看，允许速度网络信号一般，其他的都还可以就是充电这块是真烂,3
先说优点吧，首先这款的外壳颜色特别漂亮，功能也比较多，视频还自带美颜，之前我对象用vivo别的款挺好的，所以对vivo比较信赖就下单了，这款缺点是太容易发烫，每天早上用打车软件的时候就发烫，听歌的时候也发烫，打电话也发烫，之前本来想退的，又懒得退了，还有就是电池续电比较短，刚买的基本一天得充两次吧,3
第一次用vivo奔着刘雯哦不，是奔着相机买的，拍出来的效果你们看啦！手机超薄，握持感很好！耗电快是短板呀，对这方面有要求的别买。屏幕刷新率还是和mate40差一点点，用起来也看不太出来。网络信号不太好，经常断。系统还算方便吧！挺人性化，没有我吐槽的点。玩游戏速度快，偶尔发烫，下电快。,3
运行速度：玩游戏不是很理想,3
买回一个月就有小问题了,3
买回一个月就出现声音自动超变大变小，两个月不到电池就很难用，一次充满只能用八个小时。。。,3
并没有想象中的那么好。,3
不怎么样,3
拍照效果：有个黑点擦不掉，售后也麻烦,2
充电器有人用过的，别的没看出来,3
用了两个星期，有点失望，我只玩很简单的小游戏，明显感觉不灵敏。,3
手机应该没问题，就是优惠力度太小了。之前6.18买了个同型号的，嫌内存太小退回去了。上次买的2909还送了副无线耳机，说是值200多元钱。这次买了个最大内存的，花了3799，居然啥赠品都没有。差评。,2
机子可以，就是容易发烫，电池不耐用，,2
发烫得厉害啊！跑步五公里结束，烫手；发个动态，烫手；刷个学习强国，烫手,3
机子外形不错，电池不够用，看两三小时视频就只剩百分之四十的电了。,3
太垃圾了，手机没玩游戏只是充电，发热，用wifi只是看~，发热用了两年多的p30都没有发热到这种程度。下单需谨慎,2
手机太小太轻，不知道质量行不行，害怕的厉害,3
卡顿 像数也不清晰 真的以后不会再买了 太失望了,2
这手机的信号不怎么好，人家打电话进来经常打不通的,3
屏幕音效：声音嘶哑不太好。桌面给个人感觉太脏无用APP太多，不知道干什么用。其它将就,2
运行速度：慢，感觉是维修过的机子！,3
和想象中有差入，电池耗电有点快,3
用一个月，耳机孔没用过掉在里面有异响,2
用了两个月手机里面有异响，可能零件松或掉里面了,3
手机发烫测温都达到41度，冬天合适不冻手。,3
卡还是有点卡,3
一般般的价钱一般般的手机也就一般般啦,2
拍照对焦越怼越模糊,3
刚买一个月都掉价了，,3
赠送的东西也不咨询一下有没有需要就给确定了 还不能更改,3
网络方面不怎么好，也不怎么好用。,3
外形外观：上架的颜色与实物不符。差距太大了,3
音质不太好   照相也一般,3
买了还不到一个月手机就开始卡了,3
就是电池没有华为耐用,3
耗电快，偶尔会闪退和卡机,3
用了两个月，卡了好几次  以后还是换华为吧,3
待机时间：坚持感觉不怎么经用运行速度：一般般,3
耗电比较快，不舒服，不用都百分之一消耗,2
不理想，玩游戏都闪屏？,2
手机挺好的，就是电池续航较差。,3
说真心话，我觉得这个还没有我之前的NEX好用，首先电池待机时间太短，还没咋用到下午就只有二十几的电量了，不知为啥，跟NEX没发比 ，那个用了三年了充满电还能用多半天，除过照相功能还可以，其他没觉得有啥好的,3
说一说真实评价，手机刚到手就出bug，全屏手势无法直接退出应用，问客服也没回复，装死人，重启后解决了，手机拍照还行，性能也挺好，就是电池不耐用跑电现象严重，还不如我之前的老手机耐用，其它方面都还行。,3
用了一天~就看不出来了，联系客服说重启，用了这么多手机第一次碰到这个情况哦，是运气不好还是手机有问题，手机充或者视频的时候好烫，烫得有点怕，客服还是说没有问题是正常的哦,3
手机发烫的厉害，其他都还好，手机发烫是正常，但是就开个视频没有几分钟手机就开始发烫，烫手，真心不喜欢,2
电池半天就没电了。。。。。也就看看~，什么情况,3
发热严重，课堂派交个视频作业还发热自动退出程序，后来还自动关机重启，这还没用到半个月，真无语。就长的好看。,2
外观良好，屏幕分辨率良好，手机拍远照不是太好，近照太白,3
机子反应太慢了，不喜欢。,2
其他的都没问题就是处理器不怎么样,3
用两个月就出质量问题，没法锁屏。,2
手机还没用，希望好用吧，这外包装盒子收到货就这样，影响心情,3
运行速度：一般般用着感觉耗电有点快快递包装很随便,3
手机最大的败笔就是前置摄像头忒靠边了。自拍特怪,2
卡，卡，卡，比我的x9都卡，不知道什么时候就突然卡住,2
刚买回充满电放一晚上掉了百分之35电。什么情况？,2
手机很厚，而且还是4G网络&rdquo;,2
感觉好容易发烫啊   还没有带壳?,3
耳机是坏的，换了一次发现是耳机插孔的问题接触不好,3
手机反应时灵时不灵，有时候画面上面会卡半截不出来，,3
一般吧，老婆说没有x23   8g运行的流畅。,2
其他都好，就是耗电太快了难受,3
手机到了，但是送蓝牙耳机是假的，并不会送，都是骗人的，但是手机还是是很不错的??,2
没有想象中的好看，屏幕不大，边角的字幕有时候看不见,3
触屏点小面积基本无用,3
电池不耐用，看小说4～5小时就没了,3
不是闪充，一玩游戏就发烫 其它还好,3
我去，一天就掉一两百,2
外形外观：太长了，有点厚，不太喜欢,3
买手机时要问客服要一个充电宝 视频20分钟电量从百分之百下降到百分之八十八,2
入手两天不尽人意，电超不耐用。,3
不知道是我的，4G卡搭配5g手机卡，还是这个手机本身就卡？,3
手机不错，很好用，但是内置应用太多了。,2
发语音有时候有一半没有声音,3
待机时间：待机时间镇不行，睡一晚上'醒来。最少会没有百20的电,3
有点卡顿，电池不耐用,3
发热，网络不好，续航不行，跟华为还是有差距,3
充电真慢，手机发烫。,3
裸机，连个钢化膜都不送，还是实体店买吧,3
外包装有点差劲?手机包装盒的一脚都已经变形了，手机还好，比较喜欢,3
一直用vivo都很好比之前用的款掉电快，容易发热可能扇热不行,2
买了没多久，部分功能在使用过程中有点卡顿，5G网速跟4G相比也没有太大的优势。,3
待机时间：充电还没我的x30 块，一般吧，这个手机,2
其他的都没问题就是处理器不怎么样,3
用了几天，感觉手机有点迟钝，小卡，总体感觉手机不怎么好,3
网卡，不知道为什么，就是感觉有点卡，反正还好吧，就一个问题网卡，其他都正常,3
刚买没多久 降价100多 还不给退差价,3
手机发烫，不充电用，都会发烫，有点害怕！,2
耗电快，玩游戏卡顿，除了拍照将就，其余的。。。。,2
信号不是很好老是断网，跟华为手机信号没法比,3
充电和打游戏发热，续航不行，没有呼吸灯,3
手机整体还行，就是电池太不经用了，正常待机还不到36小时待机时间：36,2
拍照还行，打游戏不太行，发热，充电慢，用电快,3
耗电比较快，其他的还行。买的时候说送的耳机现在还没送，感觉是骗人的,3
耗电快 不卡，赠送的耳机没有送到，客服也不理。,2
怎么才充了一会就感觉有点烫啊，看评论那么好才买的，希望不会让我失望吧,3
x30这电不耐用，一天不到就要充电了，充电比华为p10还慢，而且快递拿到发现盒子破了,3
有点闪，点一下，闪一下,2
电池不耐用！不玩放一天就没电了!,3
发热，续航差，冲着相机买的,3
用了一个月，快卡死了。有时候按解锁键都没反应。还不如我用了三年的X9反应快。,3
一直等不到降价，3898买的，一买完就降两百！耗电有点快，其它还好。,3
这价格太速度了吧，刚还一期白条，就降价了,3
手机容易发烫，还没开始玩游戏没看电视剧就开始有点发烫了,2
可以，不过机器首次用的时候发热严重，待使用几天后追评。,3
刚刚跟老婆视频说手机会发热，有些烫。就没敢视频了,3
待机时间：性号是真的差，其他安桌手机在同样的位置性格满格，换这台就两格信号，上网速度更不用说,3
累计检测应用394次，买了两个多月，平均每天要检查几次？京东管网的产品以后还能信赖么？,3
拍照片是真的很好看，但是耗电量可太费了，这点真是有点头疼,3
买之前不知道是这个处理器???4000+的价钱用这种处理器，vivo还是vivo，还是原来的味道,2
手机是很好看，什么都好。就是不知道为什么WiFi状态下 那么卡，还不如我得vivox9和vivoz5x。 这怎么手机越贵还越完蛋呢。,2
用的是三星的cpu，不行，都还没有50好用,2
电量用的非常快，除了充电快外使用时间和我旧手机差不多3小时就用百分之50的电一点都不禁用,2
充电也烫，真的，玩也烫，反正不管干什么，半个小时就开始烫，旧手机也是vivo都不这样，这个是不是翻新机啊？,3
刚开始玩网络好，但现在好卡，而且wiwf一直断断续续的，什么鬼呀,3
不知道是手机卡，还是网络卡，不怎么好用,3
网络不稳定，信号不好，手机有卡顿，快递包装很low.皱巴巴的，拆开感觉不是新机，总体体验不好,3
一直用这个牌子的手机，一直在京东购买，今天踩雷了，直接卡屏，怎么都动不了了，只能明天联系售后了，哎，7月10号买的，心碎,2
用了一个月感觉手机反应挺快的就是耗电快在口袋装一天没怎么用还剩百分之十几二十的电  打王者的话经常会卡到460   降价也挺快的一个月降了三百块?,3
外形外观：听筒严重进灰。拍照效果：一般，感觉没什么区别可能是我不会用吧。,2
手机中看不中用就外观好看，性价比是真的差，打个王者荣耀经常460，卡得要死。打王者荣耀还不如两年前买得荣耀手机。,3
不知道为什么电池一点都经用，给我感觉不像是新机,3
手机不错，送货也快，就是这价格真的了，自打买完就开始降价，越降越多，还找不来差价，今天出个活动降100，明天就叠加又降120，真服了。,2
此用户未填写评价内容,3
一般般吧   ，和家人视频不到20分钟就发烫，40分钟就烫手了,3
为什么没有赠品？我看好多人都没有赠品。其次手机刚开始用确实卡，可能是软件多了都需要重新登录，第一天用居然死机了，后几天用的还可以。,2
待机时间：用了两天，待机是真的差  不知道是手机问题还是什么问题。,2
这信号没得说，就三个字超级差。后悔死了,3
用了2天。其它的还过得去。但是电池，真心觉得不好，不耐用。也不知道是不是原装电池?,3
外形外观：不错，握的时候手感很好，但有一点摄像头上有一大一小的黑点这点让我很不满意，,2
用优酷看视频总是闪退   还有其他软件也有闪退现象  体验不好,2
价格可以！但是手机配置不是很理想！缺少一些功能，电池容量一般！没有快充功能是我用起来的遗憾！,3
打游戏三指，屏幕发抖这个怎么个意思啊，已经申请换货，不知道可以申请通过吗,2
现在换货要过年才能收到货，买的时候不到一天送到我手里了，换的时候要5天才能寄回去，整个流程得15天，嘿嘿好玩意,3
用了几天了才来评价，其他还可以，电池感觉不行啊，感觉容量是虚的，从充满电到下降到70%左右掉的太快了！,3
高价低配手机，使用下来系统没有华为好操作，UI界面比较繁琐和复杂。已经低价**给他人。,2
一般，刚买了没多久有时候就很卡顿，不是很流畅，一般般吧?,3
有卡顿啊，看来这个牌子的CPU不行，不如天肌。对京东快递感谢,3
手机是没什么问题，但这是我用过内置软件最多的还不能删的一部机,3
手机买回来了，好不好也不太懂，就是耳麦是坏的，用不了，问个客服半天不回话，哎，还是实体店买好，有什么问题都可以解决。,3
用了一个月，发现手机触屏效果不太好，反应有些迟钝,3
不好用，广告吹得再好也比不上华为，后悔,3
超级无敌烂手机，售后服务态度差，手机质量垃圾，5.19买的，到现在3个月不到，已经死机3-4次，这次连开关机都不行，真***垃圾，看上了vivo的广告，垃圾中的战斗机，千万不要买这个牌子，死机，卡死，垃圾。售后服务差，掉价掉得快,2
手机很好，也很快，但是服务很差，没有一点服务态度，如果不是看在手机很好的份上，很想给个差评和一星外形外观：好看拍照效果：很好,2
电池只能用一上午，一天充两次，看小说一个时间可以用30%的电,3
耗电是真的快，不玩游戏光看个APP半天就耗没了，声音还是一如既往的小,3
外观还行，相机没有想要的效果，电池八个小时都顶不住，真心不值4K的价格！,2
电池用不了多久，一天充电两三次，机子还发烫,2
发热，以前的vivo我觉得还好，但这次发热的厉害，下次不考虑这个品牌了,2
手机待机时间不长，充电时手机发热，这两个问题不应该出现在4000元的手机上，闪充也没有华为2399的快,3
每次充电手机都会发烫，对视频时间久了也会发烫，有时候耍消消乐还会突然卡机,3
机子可以，就是容易发烫，电池不耐用，,2
就是后面沙沙的，摸着不舒服，总体感觉不太满意,3
东西外观不错，只是刚买回来，我的手机流量用不了，问客服，全弄又弄还是弄不好。我卡换苹果原来的手机就可以。最后听京东客服的到营业厅去换了张卡，终于好了。这样也不用退货了。不知道是不是亲们也有跟我一样的问题，如果有，到营业厅换张新卡，免费的，试试是不是就好了。,3
耗电很快 一晚上待机耗电近20 总体感觉一般般,3
手机电池有问题拿去测试，给我的回复是换了一个，拿来之后还是原来的那个只不过重新包装了一下，这就是京东的做法，去***，这些歌是我收藏的，回来还有，还给我说换货了,2
手机还不错，只是总共就8G运行内存，后台什么都没开就占了6G是不是太夸张了，这样完全不够用啊,2
外形外观：有两处划痕拍照效果：还没弄明白，目前不理想其他特色：不是很理想，拍照效果也没有广告打的好,2
手机不好用，信号差，还没一个月死机一次，从不玩游戏，拍照一般般，觉得高价低配了，唉！,3
把主麦克风孔和插卡针孔放在一块，直接误导我了，也不知道插坏了没。。。,3
不知道套餐没有升级还是什么问题网速不是太好，再个是感觉电量不够用,3
没有想象的好,3
手机放音乐的时候，如果接听电话，音乐是不停的，而且也不方便暂停音乐，真是奇葩！,3
从无网到有网切换后，信号显示满格。但各种应用就是连不上网。需要等几分钟或者重新开关网络,3
主打像素  手机电量就不撑时候  反应速度也不行,3
屏幕音效：一般拍照效果：还可以，打视频电话前摄像头画质有点模糊不怎么清楚运行速度：一般外形外观：一般,3
太耗电了，就放哪不用也耗电大，虽然充电很快，但是一天得充3次，如果用的频繁得充4次,2
拍照效果：不好，还不如我之前买的两千多的手机拍照清楚呢，开视频更不清楚，有点糊，京东售后是很好的，原相机拍出的照片偏红，,2
其他都挺好、电池有点堪忧、耗电量有点堪忧。充满电百分之百。一把吃鸡二十来分钟就剩80%。再用几天找了追评。网购需谨慎！！！！,3
拍照效果：吹的  没有广告说的那么好待机时间：不长运行速度：一般,3
手机厚度有点偏厚，拍照很清晰，到是就感觉不好看，待机时间不行，充满电，一天不怎么用，就没了，还不如用了两年的&times;20,2
其他都还好，不满意的就是声音，音质不好就算了，还忽大忽小。。。，千元机也不会有这个问题吧，不能忍受?,2
买了一个月了就这个样子 而且电量待机状态是都撑不了一天,2
外形外观：感觉这款手机不如?21好用，这么快升级?30，但是感觉各个方面不好用，玩游戏时返回屏幕键还得一下一下返回，支持国产吧，其他的暂时还没有发现，拍照效果更接近实物本身，其他的还没有研究，机身反应目前是新机还试不出来，期待不卡机。,3
这发票的意思是我们自己买东西，还得自己缴税？不应该是商家缴税吗??,2
除了拍照功能是真的强大，其他的真没发现有什么好的，玩游戏直接卡顿，反应慢,3
这个手机真是无语，辣鸡,2
用起来一般  反应迟钝  干啥都感觉慢半拍     手机屏幕太长  宽度不够 不协调    不是开机用了 都想退货,3
外形外观：颜色还可以，太厚屏幕音效：屏幕感受普普通通，也许是没有做好软件优化？比老nex差，而且不是全面屏拍照效果：还行运行速度：一般般待机时间：电池不耐用其他特色：这个价太让人失望,3
机身偏厚，充电器除了自带充电器能充其他的都不行，不知道是不是只有我这台是这个情况，电池续航一般整体都一般，这个价格这个产品有点小失望,3
长得还挺好看 送的手机壳有点一般运行速度不是很快。他真的有点慢慢。有时候反应速度也有点迟钝？以后系统在更新能不能好一些？？,3
一般，没有传说中的好，机身细长有点过了，删掉了一些比较实际的功能，凑合用吧。,3
手机买了一周出现了打电话会突然没声音，会自动关机，更新了系统和恢复出厂设置，还是不行，现在等着店家给我处理。,3
机子外形无可挑剔，但充电发热，下载东西发热，这种机子不适合夏天使用,3
拍照和听歌还不错，就是屏幕不灵敏，玩游戏不怎么好，背面感觉好难看不套手机壳都能当镜子了，收到屏幕有点刮花了，充电比较慢性价比有点低，以前用的都是vivo的家里人也是的，说实话不建议购买还不如x9好，虽然现在运行不流畅了但是玩游戏还是比这手机好,3
618不会大幅度降价吧。。。。。,3
给女朋友买的  对比了几款还是这个光学显微镜好一点  性能就一班  不知道是什么问题上段时间改卡顿了一次  作为一个4000块手机  刚买  确实性价比不是很高,3
运行速度：打王者有些卡，还是没有苹果系统好。待机时间：待机时间不行，电池不耐用，就是手机不玩耗电也很快。,2
充电还没得vivox20plus快,3
手机各方面非常喜欢 但是有一说一 电池消耗比较快 屏幕指纹有时不是很灵敏 然后就是我要说的快递了 我16号下单 在我的一再催促下30号才给我送达 中间我无数次联系客服 都没有给出满意回答,3
不知道是不是都一样，新手机比我3年前都R11待机耗点都快。几乎不用，3小时掉％10以上的电。 这要用起来一天不得充两次呀,3
经常无网络，头疼(&acute;;︵;`),3
外形外观：样子好看，就是有点厚屏幕音效：屏幕还可以，音效不错拍照效果：拍摄6400，还得专门打开6400像素不像宣传那样真实，像素普通运行速度：还可以，不至于太差待机时间：买错手机了，待机时间就很短，耗电快！一天两充！！！其他特色：包装真的很差很差，纸盒都出现了破损！没有任何保护措施，直接就是裸机包装发送给我！很不友好的态度！,3
电消耗得是真的快，充电慢，流得倒是快。只是放了点音乐，不到三十分钟，三十的电就没了,3
外观好看，但是跑电特别快，充满电没怎么用就变成67%的电了，还是刚买来一天的新手机，有点无语,2
触屏没有那么好，自己带的百度输入法也没那么好用，感觉不值这个价。我以为会有一些配套送的东西，结果没有，就是正常的装，我觉得使用体验没那么高。,3
手机别的都好，就是超费电 出门都不敢玩，怕没电，就看个小说电量蹭蹭往下掉，希望在电池方便在改善改善,3
外形外观：设计做工差，太厚了，边框接合处不平顺。屏幕音效：还可以。拍照效果：比较差，镜头一大堆，视频和照片拍照效果不自然，不清晰。运行速度：暂时还行。待机时间：一般。其他特色：没无线充电，送的无线耳机就几十块钱，音质极差。,2
用习惯xs max，感觉有点不习惯，系统不跟手，导航手势灵敏度较差，还需要优化，手机稍微有点卡，感觉还不如我之前用的nex，电池勉强能用一天。手机稍微有点重，手感外观还行。期待好久有点失望,3
真不行，电池用的快。屏幕也不够清晰，不知道这好评怎么来的，一冲动就感觉血亏了啊！做手机还是有待提高啊,2
屏幕显示效果不如我2年前的三星S10，手机尺寸能做一个小屏的就好了，6.5拿手里确实大了一点，单孔扬声器确声音也比我都S10要差，耗电有点快，充电速度为什么不上快一点的有点不解，OPOP上了2千多的价格好像都是快充，很早以前的是X20，感觉过了几年在买这个系列并没有质的飞跃,2
屏幕显示效果不如我2年前的三星S10，手机尺寸能做一个小屏的就好了，6.5拿手里确实大了一点，单孔扬声器确声音也比我都S10要差，耗电有点快，充电速度为什么不上快一点的有点不解，OPOP上了2千多的价格好像都是快充，很早以前的是X20，感觉过了几年在买这个系列并没有质的飞跃,3
外观漂亮，屏幕也很清晰，桌面可以自定义，这个好用。手机有点大，不适合手小的人，自己买了手机壳和指环，不然会掉?吐槽下电池，从不打游戏的情况下用不了一天。像素不好，比我以前旧手机苹果的像素差多了，特别是晚上拍照和拍动的物体时不清晰，客服说是光线问题?,3
充电的话比较慢，，估计要差不多一个半小时，接视频的时候手机会发烫，今天听歌的时候又发烫了，小郁闷三千五百多感觉不值当,3
真的是跌价太快了，谁买谁亏呀？手机还会时不时发烫，大家看清楚了再买吧,3
用了一个月来评价。好的方面就是相机很强大！但其他方面问题还是比较多，第一，电池容量相对较小，很不经用，第二，使用过程中经常性的自动重启，也不知道是这款手机的通病还是我遇到了一台这样的机子！所以，算一个中差评吧?，并且是很客观的,3
东西到时充电线有点鼓包（图片看着不明显），但是不影响使用我就没退，然后耳机我一直没用，今天拿出来用发现有杂音看视频没多久就有杂音还是一段一段的杂音，但是已经用了也没法退，我也只能自认倒霉了。。。,2
轻薄，上手手感好。背面颜色很舒服，感觉高档，不过材质手感一般。摄像不愧蔡司镜头，和莱卡绝对有得一拼。电池估计不太耐用，用了几个小时，掉电有点快。充电速度虽然不是快充，但还可以接受。系统暂时还不熟悉，不好评论。不过发货延迟了几天，和下定金承诺的时间不符合，这是最不满意的。,3
原先手机丢了，这个手机买的太仓促了，期望太高，失望越大，手机颜值，照相网速都不错，致命一击是太容易发热了，充电发热，看视频发热，但凡有个备用机，我立马给退了，以后再买换其它品牌,3
