评论,评分
才刚刚买来一个月不到，电话接听不到，一天几十个电话打不进来，手机最重要的功能都有问题还买它有什么用，让去线下售后，去了售后说是手机没问题，手机卡问题，去营业厅换了手机卡还是接听不到电话，天天推着责任，磨磨唧唧的都多少天了，不能解决问题，简直太垃圾了,1
不知道大家买回去开~视频声音有没有很小的感觉，比如给孩子奶奶视频，孩子站奶奶身后说话就听不见，奶奶对手机说话才听清楚，用荣耀或者华为就不会，只要手机在一个房间旁边人在同个房间说话都是能听清的，问客服一直跟我扯距离问题，声音大小问题，呵～我当然是听不清的情况下比较过才发现这种问题的，当然也是第一次买vivo系列的手机，也是最后一次买了，这个牌子只是广告打的响而已,1
屏幕上有几个手指印，可能是别人退货再销售的,1
此用户未填写评价内容,1
用了俩月手机死机了，屏目锁打不开了,1
手机发热的很,1
信号太差，经常没信号，别的还好。5G直接E.好多次了，不换了累。,1
手机用了一周后开始卡顿，和大部分游戏不兼容。进游戏很慢，比之前用的骁龙710还慢。搞不过前几代处理器？要么系统有问题，毕竟新的系统做的很差。千万别看跑分之类的，都是手机温度低的时候跑着还行。正真使用的时候就知道了。稍微发热就卡顿得很。无语了,1
手机很好   六星好评  这是溢出来的那颗送给京东物流的,1
这什么啊   刚买10天的手机就降价了   就这,1
这个手机壳上面扣不严网手机里落灰，不好,1
评错了，这个是手机，我评价的是手机膜，手机孩子用呢，不知道啥样呢。,1
说好的提前购价同11.1呢？什么时候退差价？,1
退款已到账。,1
双十一买的2488现在才2200多,1
东西是不错，但是刚买回来还不超过十天就降价了让我太难受了,1
一般操作不方便屏幕不灵敏指纹解锁不好用,1
客服专业水准不行，连自己赠送的卡的激活流程都不知道,1
屏幕有时候会失灵，其他都还都还行,1
待机时间：用了几天待机时间边短了,1
去电，去得好快，手机长了一点宽也短了一点,1
很容易发热,1
联发科处理器真的不行,1
好评，确实不错，给家长买的，不便宜，我不算贵吧，还可以,1
多的不说了，总之除了卖相其它一文不值,1
外形外观：太重了  手握久了受不了,1
这个耳机都不带，还慢，，，不值不值,1
运行速度：玩个和平精英都有卡顿现象刚买2天就掉价了。,1
两三把游戏手机发烫，烫的厉害,1
怎么没有耳机了？不是说有的吗？,1
手机会发烫，没用多久充电器就坏了,1
特别喜欢你们客服的抱歉，跟非常抱歉来解决问题。,1
价格还是买贵了，比其他商家贵了200。再看看吧,1
服务态度差，手机配件不齐全，也没有具体说明。,1
手机样式还可以，手机还没有开机，因为是送人用的。,1
买前热情满怀，买后无人问津，这客服还是够高冷的,1
待机时间：电用的好快！感觉有点卡顿,1
应用经常卡退，屏幕触控不好,1
为什么没有发票的，耳机也没有拍照的效果也不是很理想,1
手机买了第二天就降价，还不保价，说是有赠品,1
电池不好用，玩一会就耗电特快,1
容易发热，半个月降价200元！不爽！,1
9月8号刚收到货，今天就降到2198合适吗？,1
还不能退货，恶心了,1
买了不到半个月降价了 。。还不让申请保价。。。辣鸡,1
待机时间：电池不耐用，买了真后悔,1
为毛这手机连不上蓝牙耳机？品牌限制？,1
什么破手机，玩游戏卡的不行，无线网不行，移动网还是不行。延时400多，根本动不了。**,1
说送的耳机数据线  没有     联系客服多次才补发 还只发的耳机,1
竟然没有耳机 那留耳机插口干嘛,1
比较耗电，电池不怎么抗用,1
手机挺好的，差评给京东。平台上买了四五个手机了，每次都买增值服务的保险，上个手机真的要用到了，各种理由拒保，寒心。一个大差评，送给京东商城。,1
打王者荣耀老断触咋回事。屏幕不跟手,1
同样在京东买的同款机子，相差几百块钱,1
这玩意买了一个月，就降价了这也没谁了！,1
其他特色：刚买完又降价了，大家先别买估计过多十几天，1500能到手了,1
货物还行，但买的时候说秒杀价结果过了两天，15号价格更低,1
型号货不对版，物流还可以,1
老是突然断网，还不如原来旧手机。,1
才买几天，就降价，差劲，以后还是不能选这个牌子,1
没有耳机，已退货。。。。。。。,1
刚收到信号不好，其他的用了才知道,1
说好的双十一预购，补差价，直接不补？我不说直接不给？,1
待机时间：待机时间不到一天，看了1个半小时视频就没电,1
刚买两天就降价两百晕,1
服务不咋地服务不咋地,1
很好的手机，就是闪屏后手机卡死黑屏。,1
520买的，现在就变向降价了，还不能申请价格保护了。,1
差，说好送耳机，买了就不认帐，大家要注意,1
客服态度及服务水平差！这个手机刚上市时我买了一个给我爸，前几天又买了个给我妈，我妈这两天说了几次这个手机使用中的小问题，我就拿着看看，两个手机一对比发现通知显示不一样，咨询客服，答非所问，关键自己卖的东西常识性的设置自己都不清楚，差评！,1
懂得都懂,1
差评，最初第一部手机到手发热断网，换另一部好了不热了，但是充电器头有问题，试了很多次，线没事，就是充电器头是坏的，插好有充电声，就闪一下也不充电，好几次插好以为能充电了，结果要出门，手机关机了，就很郁闷，两部手机，另一个不断网，充电也是随便插上就行！,1
手机信号不稳定~视频老是卡死特别糟心我也不是黑他们实在窝火,1
答应给的耳机快一个月了也没给，就说没货,1
三四天后为什么会卡机，过一会就强制重启,1
掉电厉害，然后不能保价了，还找不到客服,1
iQOO这手机还是不行，不如OPPO的，第一次用感觉很廉价的货，5gWIFI连接还是个450m的，后悔入手,1
真是服了，服了，买个新手用还不到三天就卡顿，换货从二十三号到现在也没个影，真是烦透了，早知道这样还不如退了，????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1
这垃圾手机网络也太差了，刚买回来前两天网络还可以越来越卡，也没下载什么东西,1
垃圾东西，大家都不要买，刚收到开机就死机，太垃圾了大家千万不要买，这手机就是坑消费者的。,1
此用户未填写评价内容,1
傻卵东西，刚刚刷B站后台没任何东西都又卡死机了，牛B的,1
全屏游戏了画面切换很难。充电器是坏的。冲不了电,1
第二天就坏，就只同步了一下旧手机资料，还没来及使用，直接开不了机了。换货要7－15天，无语。,1
手机是新手机，可让我不爽的是京东自营买z3不带耳机，淘宝买z1附带耳机，人工客服解释新手机不带耳机，那设计个耳机孔来干嘛？花两千块钱买手机的能坑就坑，花五千块钱买手机的要当祖宗供起来是这样吗？大家都挺忙的，就评论到这里。,1
果不其然，刚下单买完第二天就降价100,1
买个屁手机！说话不算话！开始买手机的时候就说耳机是赠品不可以一发过来！手机到了之后过几天才会发！我就无语手机是14号到的，现在都26号了，我连个屁都没有看到，上周明明就说了，这个星期会在星期二，星期三发货的，结果又说什么加急，还是没发货，我就无语了，京东连一副耳机都**送不起吗？？送不起就**别答应好吗！真膈应人！我真的是瞎了眼睛！以后啊睁大眼睛看看！不要觉得什么旗舰店就是好的，放屁！所以啊奉劝大家不要买，在时候有你们受的！还有很多截图我没发勒，我也不想为勒这些人浪费我的精力！！祝你们早日倒闭！不用谢！,1
两个问题，1是8月份买的手机，系统存储里有1月份下载的音乐数据，全屏手势下，从屏幕底部往上的返回桌面等操作无效，且屏幕触控严重影响体验，有时候返回操作也没有反应，心情极差，只能说，很简单，便宜没好货，说不准也中了二手的招，给父母买的手机，京东多年老用户，最差的一次购物体验,1
就是耗电太快了???,1
买了不到一个月吧。充电速度就变慢了。,1
待机时间：今天刚刚拿到还有40的电一下子就没了,1
打吃鸡游戏闪退，卡死机三回，才买几个小时。,1
不是很好用，像素差，电池一下子就没电了!,1
购买了商品还是比别的商家贵了些。在看看吧,1
一个手机  什么都没送,1
昨天刚买的，今天就降价200,1
刚买两天就降价了。。。,1
买来刚7天多就降200,1
手机卡 售后不咋样 得等15天,1
刚买完就降价了，不是保价的吗,1
用了9天喇叭就不行了开始哑了,1
电池不行啊，一会就没电啦,1
交定金比不交定金还贵，搞鸡毛啊。,1
外形外观：充电器器有点问题，插头歪了，插不进去,1
我刚买7天你就降价200块钱,1
后悔了，拼什么上面才1600多，8+128的，差好几百块呢,1
其他特色：网络特容易卡，我才下了二个游戏,1
进攻送货体验不好，东西还没收到手，就给我点了，我多花运费了好不好,1
耳机都木有，啥也不是，就一个包装，啧啧啧,1
活动中的50元话费没给。,1
听筒声音不清晰，最大声音也是,1
今天刚收到货，续航不是很好，京东越来越差了,1
别人都有耳机送，我买就没有耳机。,1
清晰度，唉！还不如我两年前买的红米8清晰,1
刚买俩月就降价两百块钱，什么情况啊？,1
为什么不能下载务工宝app 联系客服也是不回答问题？？？,1
手机就那样，送的蓝牙耳机一只耳朵有声音，另一只没有,1
不送耳机就不要写出来,1
反应慢网速慢说的下单送耳机到手就一个裸机,1
待机时间：待机时间短 耗电量快,1
给别人买的，但是总是说信号不好。也不知道啥情况，哎。,1
不带耳机。这手机不行。运行速度：不行,1
明显是退换机，这品控？,1
买的手机到了，送的耳机现在还没到，,1
20号买的时候没有双十一活动预告，21号就降价了，也不给退差价,1
手机有点厚，掉价有点凶，价格不坚挺的牌子会失去人心的,1
没送耳机，有点上当的感觉。,1
手机还没贴膜，也没送膜。感觉像用过的,1
才买一个星期，又降价200.,1
手机刚开始玩 就开始发烫 待机时间短,1
这手机不怎么样，电池半天就冲电，赠品，也没有,1
为啥连个耳机都没有？,1
手机放音乐卡，手机玩游戏发烫，明天就退货真的服  。,1
没有耳机，我怀疑是翻新手机，客服服务态度差,1
才买几天就掉价俩百，手机有一些通病不过还是能用用的,1
您没有填写内容，默认好评,1
闪退，怀疑旧翻新来卖,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
手机已经手到好久了，但是耳机到现在还没有发货，,1
桌面想老人机，建议不要去买，拍照也模糊，建议大家去买隔壁的oppo，送货也比其他的慢,1
您没有填写内容，默认好评,1
您没有填写内容，默认好评,1
配送员太懒了订单到了不派送过来,1
拍照效果：不太好外形外观：唉，才卖几天，又降价100元,1
耗电速度超级无敌快，真不行,1
送的电话卡也用不了，啥也不说了京东NB,1
您没有填写内容，默认好评,1
京东物流服务非常好差，货到了不打电话给我，不送货****非常好差,1
送个耳机还不让保价。家里全是耳机有什么用。,1
新手机用电速度太快了，待机时间用电也快，辣鸡,1
这**网络也太差了，用联通卡网络差这就算了，电信卡网络也差,1
新机降价太快，坑人,1
新机降价太快，坑人,1
刚买一天就送耳机，还说保价到618，没法信任了。,1
我笑了，买之前说有耳机，买完了呵呵了。,1
外形外观： 下完单就给他发信息，让他换一种颜色他们都没换，还讲没看到，不知道这位客服是干嘛的。,1
用了还没有一个月就死机了vivo越来越不行了,1
刚用几天啊，就开始卡顿，不建议买,1
六点多送来的一张卡，搞到现在，一会关注这，一会关注那你码了个碧,1
手机号无法激活，说的话馿唇不对马嘴,1
客服哪个名校毕业的，阴阳大师。,1
下载游戏吃鸡王者就黑屏根本没法下载一下载就黑屏然后就中断了,1
送不送实用点的，送啥电话卡，都不实用。赠品差！,1
卡槽出不来，轻轻弄也出不来,1
还没怎么用，电池一天都用不到。,1
一天充3次电。不过充电很快,1
购买十二天就降价还不给价保,1
卡的，偶尔网络连接不上，说给的大王卡也没有给,1
五十五瓦快充 确定吗？比慢充还慢,1
时不时会卡、点都点不了、卡十秒左右就又好了,1
呵呵，前两周买的现在降了400,1
玩和平精英比不过骁龙765G，连阴影都关不了,1
一般，膜是高清膜，难受,1
老是断流，双击唤醒屏幕也不灵敏，好差,1
太差了，网络居然比之前的旧手机还差，屏幕老是点触没反应，以后都不买vivo,1
刚买一周就降价300，还不能保价。恼火,1
这手机耗电超快打王者荣耀画质开高用不到4小时绝对真实,1
不知道是补是我手机有问题,1
才用几天，手机信号满格刷网站都卡,1
这手机说实话不咋地啊，各种闪退,1
耳机呢？？？还没送。,1
没有耳机啊,1
**  一个月不到 降价200多  找他们也不退,1
垃圾   恶心  谁买谁上当   手机卡顿   声音好小  触屏不准,1
网络不好  经常断流,1
外形外观：有灰尘 有划痕 难得换了，都已经是换第二个了,1
不满意不满意不满意？？？？,1
手机不人性化，设计不科学，比小米和华为差远了,1
电池不行，一会没电了,1
玩游戏发热，还有些卡,1
服务差，还是一个有两缺口的手机，大家最好不要买,1
玩王者有时候会断触,1
买的时候感觉2198可以入手，结果这会儿来个1987？还正好出了价保时间？感觉有点不高兴,1
有闪退的情况，新机没多久有异响，但又自己好了！,1
打开之后没注意 上壳的时候发现机身上面有个坑。影响美观。,1
手机有质量问题经常断网，耽误事情。,1
有卡顿，打游戏有时候自己就卡倒是没有发热现象,1
这款手机电池续航很短,1
什么嘛，刚买就降价？,1
降价格就跟小孩尿尿一样 一会就来,1
明明赠品有耳机，收到货却没有，唉，有点失望，手机不错挺好的，建议商家不要欺骗消费者,1
耳机是需要会员才送，我也不知道，后来客服又私自给我发了一个，实在感谢，很不错,1
外形外观：充电器有明显磕的痕迹,1
手机喇叭有点杂音，其它都还可以,1
买了才二十多天，就降了300块。,1
割韭菜的一把好手,1
反应太慢了，就是个砖头,1
价格虚高，还有下降空间啊！,1
唉，和我同学一起买，我还不如不预约，,1
数据网络经常出现断网情况无法连接,1
啥情况，明明有送耳机的零售价快递，在同步发出，却一直挂在订单里？,1
买完第二天就降价400,1
刚买十来天，就少一百，心里不舒服，应该退我一百。,1
屏幕有时候点击会卡顿点不上，一分钱一分货没错了,1
刚收到货就降价300 说好有保价 怎么就退100 京东什么时候变了,1
买的新手机卡槽居然拿不出来,1
刚买完就降价！一个月不到降三百啊！！,1
垃圾！！**！,1
发热有点严重，其它还行。,1
没耳机，还得自己花钱单买，物流还行，当天到，手机没问题，很耐用,1
玩游戏散热差，售后麻烦。其他还好。,1
手机刚买了就掉价了  也不给退差价 一下掉300,1
卡死机，黑屏重起，屏幕绿屏，发热，充不进电。,1
刚拿来手机就有三道刮痕,1
看个视频都容易发热，声音也不好听,1
刚买完就降价，这才几天，将300，呵呵,1
大家不要买，老是无限黑屏打不开,1
说好的送耳机？？？耳机呢？？？？？？？,1
为什么刚拆封的手机运动步数就2697步了,1
送赠品都是扯淡，我是什么都没有，有个不需要的手机卡,1
买了没才几天，就降价100，申请保价，说是有赠品不给保价，才两三天搞得心里不舒服，总之购物不愉快,1
直接让我退了重新拍，不麻烦吗。。。。你们就不能补差价吗，所谓补差价都是假的,1
电不是一般的不经用，,1
手机一般，效果不是太好,1
锤子个快充，还不是要充几个小时,1
买了两部手机，收到4天就降价了，联系客服也没解决,1
买了4天，就活动，客服也不通知一下,1
京东的东西，不怎么样，刚买二十天的降价了。问客服过来保价期！！哈哈,1
刚买第二天就降价一百元,1
给我送的耳机，手机都用了七八天，耳机到现在都没有发货,1
用了一段时间，才发现屏幕内部有遮盖的划痕,1
1、新机 竟然已经下载了APP 2、触屏不灵敏 （无法返回）,1
外形外观：丑拍照效果：巨差其他特色：动不动就自动重启，吐了吖,1
真的垃圾，申请售后还让我先寄过去再等半个月甚至更久才给我解决方案，这是让我与世隔绝？就急着用手机才在京东买的，封校出不去，然后我现在买了还要等半个月一个月？,1
对京东物流非常满意，对商家销售方式非常不满。,1
我要退款，新地址天津河北区红星路红波西里，需要客服来个电话,1
手机还可以，就是耳机不行，送的耳机连音量加减都不行，垃圾，要买的都看下,1
没我之前的手机网速好呢 WIFI总断 下载软件老断开连接,1
刚买两天便宜了300块钱,1
感觉以后买手机要仔细认准牌子了，这部手机实在太棒了，它好的我都不想用了,1
背面底部的缝隙太大了，还刮手了，其他都还可以,1
做工太垃圾，连1000的都不如,1
待机时间：耗电好快，不玩放在一边五分钟少百分之十电，感觉没好,1
用电快想退款,1
有一批订单明示plus用户加赠耳机，大家有没有看到。结果发来的只是一付耳机,1
说是预约618送耳机，啥也没有醉了,1
运行速度：游戏闪屏卡顿，切后台会卡,1
这个快递小哥如果可以在牛皮一些就好了，我的是手机你给我直接扔在地上,1
**客服，在这里搞事情,1
掉电厉害，然后不能保价了，还找不到客服,1
用了十几天就没有信号,1
用了一星期多，也没有摔过，后盖就多了一条裂纹,1
手机还挺好，就是我买的礼盒版给我发的裸机，补发的礼盒更搞笑，葫芦娃音乐盒里说明书竟然是我为歌狂音乐盒说明书,1
掉电飞快 玩游戏平均1分钟1个电 没开高刷 想退货,1
刚刚买的，然后过几天就降价一百多，还不能价格保护，然后后面买的送的东西还多！,1
买完没十天就降价，还不支持保价，蓝绿东西真买不得啊,1
双肩包和耳机竟然只给老客户，屏幕和杂牌机一样,1
拍照效果：极差，都看不清人！客服服务态度不好，不能及时解决问题！,1
说好的有耳机送，下单的时候也显示是有耳机的，结果问客服说没有,1
买完降价 没什么东西送,1
屏幕音效：不好 运行速度：不好其他特色：不好外形外观：不好,1
不怎么好用个把月就充不进去电,1
电池不耐用，充满电待机到下午就没电了,1
下次在也不买这牌子，4400的电池不看电视就中午休息玩1小时到下午5点多就百分之10的电量，充电是快但耗电也快真不耐用,1
才买完到家就降价了，,1
10-24日预付2298预购的。说11-1日到手价1898。结过说过了价保。一分钱没优惠到。无故多花了400。辣鸡。,1
后面退钱了。手机还是没毛病的,1
反应慢  连无线网网速慢不如Y66,1
手机里面又下载过的音乐，不知道是不是用过的,1
刚到货，第一时间评价，翻新机or返修机？实锤，请客户给我解释,1
已发图片是明显的撬棍痕迹，边框上还有其他位置是不明显的撬棍痕迹，拍不出来，明显的痕迹已发图片正在审核。作为十几年的京东老客户，这次购物严重影响我对京东自营的信任。,1
刚买就降价，答应的赠品半天不发货,1
丢这才多久突然之间就黑屏了，刷都正常，亮屏就亮一点点,1
耗电快，35天前入手，现在要降价300，是这个原因降价吗，我申请退货吧。,1
买来第一天手机就出现问题啦而且电量也不够硬一个小时掉百分之十得电,1
宝贝已收到非常高兴用了两天，觉得触屏幕反应迟顿，不太好用。，,1
手机玩几分钟就发热了烫手,1
手机好不好不知道，服务不好，这款没有耳机的，提前没有说明，还要自己看清楚了再下单,1
答应给的耳机快一个月了也没给，就说没货,1
作为京东大平台，购买手机居然没有说明书，最主要居然还没发票，强列要求补回，要不然只能找消委会，,1
连个起码的耳机都没有,1
买刚买就降价了?,1
一句话，无法形容，后悔买了。,1
看小说不到三分钟屏幕黑屏，没反应，查看网络有几个连过的wifi记录，简直就是人家退回来的二手货,1
没有好评返豆子，好桑心,1
没有好评返豆子，好桑心,1
刚买一两天就降价，发放优惠券，还不支持补差价。各种推脱,1
发现给的样机，上面好多用过的痕迹,1
我佛了 还是官方会玩,1
玩呢 提前预订还不如当天下单还送的蓝牙耳机。就这样消费我们？？,1
手机不错就是说送的赠品没有,1
买了没几天就不正常了，保价才几天，就降价一两百，还不给保价,1
刚买了一天就降价了，多花200,1
换货一回了，我想知道尾插口就这样吗，都有缺口,1
买的时候6期免息 付完钱又变成3期了**?,1
经常断网，信号还不好,1
听筒不好，有时贴在耳朵上都听不见,1
绝了，这才第二天用着用着黑屏关机了,1
这这不到一个月就降价了一百多,1
买前说送那送这，买后什么都没了,1
才玩了三盘游戏，手机就发烫了，喜欢玩游戏的建议大家不要买,1
已退货，外包装破损严重,1
质量性能一般，有活动赠品客服也不说，,1
以后再也不从上面买了，一个月**00块钱！这叫什么事,1
到达时间不够具体，比想象的不够好待机时间：差了一点,1
卡的不行 除了用WiFi不卡 什么数据卡都没法用 转半天,1
没有好评返豆子活动，好桑心,1
什么都不想多说。说好的赠品现在都没送，手机也不怎么好用。,1
体验不是很好，系统一般，买了没半个月就降149，再也不买这牌子手机了,1
手机发烫费电快充电慢,1
真的差，买来两三天玩个游戏卡一个多小时，直接黑屏，我都不理解是什么情况,1
果不其然，刚下单买完第二天就降价100,1
刚买的打个游戏网络好好的手机卡的不动,1
买给妈妈用的才没几天运行内存就不够了,1
快两个月了，手机卡死过两次，,1
血亏50，不服不行，客服nb。,1
差～发货慢，咨询几次客服发货情况都叫自己看首页，能看出发货没有还需要咨询客服吗？,1
手机很好   六星好评  这是溢出来的那颗送给京东物流的,1
手机还是ok，就是保价不给你弄，别人就可以，明显的区别对待,1
不合适，根本就不是z3膜,1
好评，评价给能错了,1
商品挺好的就是说的赠品耳机到现在不发货真的受不了了,1
没赠送耳机差评，手机还可以，比想象的好些，老人家喜欢,1
其他特色：不要买，新机打王者FFp掉到53，挖孔屏用的不是很舒服，WIFI和热点不能同时开，,1
不要买，今天打王者FFP掉到51，网络稳定，就这还给王者代言，钱都花在代言了机子怎么好。,1
我是以旧换新的，有图，自己看吧,1
记得下单之前问问有啥活动，要不会少东西。,1
屏幕有坏点，已经申请售后了，第一次买IQOO搞得好担心质量,1
呵呵，**的预售活动！！不过京东的速度确实不错显示2号到1号晚上就送到了,1
啥也不说，信号是真的差,1
三四天后为什么会卡机，过一会就强制重启,1
plus送耳机，根本没有，不送就不要写???,1
物不抵价，不是很流畅，有时候会卡，而且买了之价格哗哗的降，,1
买来半个月坏了，换机又被暴力快递压坏,1
手机还行，快递员未按照约定时间送达，并且快递员有说谎嫌疑，品德不佳,1
不是很理想，和我想象的差好多,1
在京东买东西就是个坑，这么多年一如既往的支持京东，竟然让老客户寒心，真是**服了,1
谁买谁知道，才20天已经出现滑屏不流畅和卡死现象,1
一样的卡 一样的地点 不一样手机 这个手机信号贼差 不想点评,1
手机信号差的没法说 爱奇艺看电视要缓存半天出不来不说 抖音还要缓存半天 这是5g吗？不想说了，就这手机还打游戏，不怕卡死吗？,1
快递自己去拿的，不送！,1
不喜欢但是第二个，因为是用来做老年机的。,1
卡，同一个地方比我的旧手机卡,1
客服挺好的，我评价不久后客服就打电话来询问出现的问题，并给了解决的办法，还说出现什么问题都可以询问，挺好的,1
电池不耐用  头一次买vivo 没有华为小米好京东物流还是很快,1
昨天买的，今天就降价。,1
下单时看到有赠品耳机的，货到时，就没有了赠品耳机。订单上也不见了。,1
才用一个月，不能充电啦？,1
手机发热耗电厉害充电也汤手送的蓝牙耳机还是坏的 换新几次都是一样,1
新用户就一直一直一直抢不到他们的减二百的优惠券，用别的手机就可以，但是手机也过了七天了不给退了，真奸诈！！,1
刚买就降价 比618还便宜,1
质量堪忧，换货还时间贼长，浪费时间,1
三天便宜两百，还没有耳机，建议慎买,1
外形外观：外包装烂了   物流没送到手里面  送到申通自己拿的  手机刚刚开始用,1
没有耳机！没有耳机！就手机和充电器！不算理想,1
刚收货用了一下就发热，反应慢，感觉是别人用过的又寄过来。,1
不怎么满意，18号下的单，现在才收到,1
京东的服务还是不错的，虽然手机屏幕断触，像素不好，信号差，但是京东已经退钱给我了。,1
不是说送耳机了么，怎么没有了，问客服还不搭理，真是的,1
一般般吧，上手很一般，打游戏呢，发热,1
手机三月份就激活过了  人家退换货的你也发出来,1
待机时间：电池不行，没用放哪儿十分钟就用了百分之一的电还没有我买了一年的手机电池好,1
系统不流畅，反应迟钝，后悔买了，如果可以退，绝对退货。所以不建议购买,1
不是很满意   手感不好   画质也不太好,1
别再买这部手机了，耗电快，不耐用，手机还发热快，散热慢,1
购买手机没有配带耳机，啥都没有，膜也是只有手机上贴的一张，就充电器和数据线。,1
手机电池不行，没怎么玩就没电了,1
我提前两天就贵398？说的系统自动退差价？退到哪去了？京东自营就这信誉？好多都说没有退差价。这是骗到一个算一个？,1
不知道是质量问题还是什么问题，关机充电七八个小时，早就显示满了，开机显示只有99%,1
半个月后才发货，一天推一天。说话不算数,1
预约活动当猴耍，让大家12点蹲点买一点额外优惠没有，搞不起预售就不要搞。,1
大家辛辛苦苦12点抢个预售，睡一觉起来就便宜50还送蓝牙耳机，京东真是把人当猴耍。,1
刚买就降价，感觉上当了，京东还值得我信任吗？,1
1.早上下的单，显示预计当天到才下的单，第二天才到，2.送的耳机也没有看到，3.隔了一天降价50还不能保价,1
20%的电，睡觉前设置为省点模式，早上八点起床基本上都会没电。,1
手机不行。拿回来第二天播放语音播放几个声音,1
指纹识别没用，有时可以解、有时解不开，有时随便哪个指头都可以解开。,1
手机收到后无法开机，勉强开机了，屏幕花屏，无法关机，快递包装完整。,1
信号极差，wifi老掉线。,1
失望至极的一次购物。,1
屏幕上有几个手指印，可能是别人退货再销售的,1
王者荣耀不兼容，打开就跳出桌面玩不了游戏，废了。,1
卖家发货速度真的是太慢了，我不敢恭维，手机还行，快递还行，最起码比卖家快,1
打王者一样掉帧，音质都比不过两年前的手机,1
充电充不满   刚买的   要不是没手机用   我就退货了   买回来一次都没充满过,1
5号买的手机6号到，一看价格掉了一百，我也是醉了,1
真是越想越生气,1
买了一个多月就降价300多恐怖自认倒霉  还买了2个 以后绕路  有多少心里不爽的,1
木有耳机。。看评论有耳机我就忘记问了，早知道没耳机我就不买这款了。。,1
刚评价完好，隔天就卡，打电话没有任何声音，才用22天,1
反应慢，才买一天降价100,1
不到一个月，屏幕总是自己息屏，摁了开机键，好久才有反应,1
用了俩月手机死机了，屏目锁打不开了,1
没有介绍的那么好，电池不耐用，一颗星给快递,1
