评论,评分
评论,评分
耗电太快，硬伤！！！,5
产品很不错，可惜我使用时候发现摇晃有声音，就选择换货了，服务过程体验比起~那简直是好上10倍，京东的产品值得放心购买，服务水平太高了，必须给十个赞。,4
用了十多天了，非常棒,"5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""anonymousFlag"":1,""plusAvailable"":203,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""8GB+128GB"",""textIntegral"":20,""status"":1,""referenceId"":""100021368778"",""referenceTime"":""2021-09-05 16:22:19"",""nickname"":""蠢***鸟"",""replyCount2"":0,""userImage"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":17,""afterDays"":0},{""id"":16344973765,""guid"":""07df20b385c901a69855ad3078d08057"",""content"":""体验感非常差，刚买来一个月。网络动不动自己断网，手机通话也有问题，打电话打不进来，偶尔可以打进来，太差了，我也是无语了，还会继续投诉的，客服也特差&hellip;没有一点服务意识"",""creationTime"":""2021-09-22 14:02:00"",""isDelete"":false,""isTop"":false,""userImageUrl"":""storage.360buyimg.com/i.imageUpload/6a645f3739363036663534383663616231353937363737303038373135_sma.jpg"",""topped"":0,""replies"":[{""id"":895426396,""commentId"":16344973765,""content"":""尊敬的v粉，您好！很抱歉给您带来困扰。关于您反馈的信号问题建议您先留意下一般是在什么环境下会出现这种情况，建议您改变一下手机环境，避免在高楼大厦、信号不好、人比较密集的地方，重新拔插SIM卡、更换其他SIM卡对比观察看看，排除SIM卡本身问题导致。关于您反馈的客服方面，查看到店铺客服也是有向你解答，可能沟通不到位给您带来误解，我们深表歉意，不足之处我们会不断反思并将不断的完善，争取越来越好，期待后续给您带来满意的体验。后续如有任何疑问，可随时联系店铺在线客服反馈，一定竭诚为您服务，祝您生活愉快！【专业影像旗舰】"",""pin"":""v***n"",""userClient"":98,""userImage"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""ip"":""121.12.163.214"",""productId"":100021368778,""replyList"":[],""nickname"":""v***n"",""creationTime"":""2021-09-22 17:02:28"",""parentId"":0,""targetId"":0,""venderShopInfo"":{""id"":1000085868,""appName"":""//vivosj.jd.com"",""title"":""vivo京东自营官方旗舰店"",""venderId"":1000085868}}],""replyCount"":1,""score"":1,""title"":"""",""usefulVoteCount"":0,""userClient"":2,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""8GB+128GB"",""textIntegral"":20,""status"":1,""referenceId"":""100021368778"",""referenceTime"":""2021-08-11 00:00:48"",""nickname"":""M***c"",""replyCount2"":1,""userImage"":""storage.360buyimg.com/i.imageUpload/6a645f3739363036663534383663616231353937363737303038373135_sma.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":42,""afterDays"":0},{""id"":16344461965,""guid"":""c72dac3a59d95cda24360c941b823a00"",""content"":""外形外观：稳重大气上档次的。。屏幕音效：曲面屏，显示效果还可以吧，毕竟在今年没有2K屏拍照效果：拍照效果很好了，尤其是夜景。。运行速度：骁龙888速度不用怀疑。待机时间：待机时间一般，不玩游戏勉强能坚持一天。其他特色：火龙888名副其实，刷个~都烫手，充电屏幕发热有点高，今年冬天手机暖手宝稳了。。。"",""vcontent"":""{$%&外形外观：&%$}稳重大气上档次的。。{$%&屏幕音效：&%$}曲面屏，显示效果还可以吧，毕竟在今年没有2K屏{$%&拍照效果：&%$}拍照效果很好了，尤其是夜景。。{$%&运行速度：&%$}骁龙888速度不用怀疑。{$%&待机时间：&%$}待机时间一般，不玩游戏勉强能坚持一天。{$%&其他特色：&%$}火龙888名副其实，刷个~都烫手，充电屏幕发热有点高，今年冬天手机暖手宝稳了。。。"",""creationTime"":""2021-09-22 12:07:26"",""isDelete"":false,""isTop"":false,""userImageUrl"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""topped"":0,""replyCount"":0,""score"":5"
评论,评分
使用一段时间后才来评价的，首先是外观非常漂亮，用起来速度也非常快，没有丝毫卡顿，特地买的256G的，以后再也不用担心存储容量不够了，最后就是充电非常快，好大一个充电器，一会就充满了。,5
互传数据很快，又简单，拍照功能可达到单反效果，系统刚用很流畅???,5
vivo 品牌保证品质一流，\n流畅性强??，用的舒服。\n系统扁平化 ，体验轻爽，\n轻薄的设计，高端大气。\n双主摄像头顶级体验，微云台功能强大，\n支持支持国货精品！,5
"外形外观：超大杯但是非常轻薄，素皮很有质感，最好看的后摄啦\n\n拍照效果：几颗摄像头都非常给力，没有凑数的摄像头，色彩非常可，不过分艳丽又很舒服\n\n运行速度：originOS满满的新鲜感，细节很多，流畅稳定\n\n价位实惠，做工好，拍照非常好 支持vivo！"",""vcontent"":""{$%&外形外观：&%$}超大杯但是非常轻薄，素皮很有质感，最好看的后摄啦\n\n{$%&拍照效果：&%$}几颗摄像头都非常给力，没有凑数的摄像头，色彩非常可，不过分艳丽又很舒服\n\n{$%&运行速度：&%$}originOS满满的新鲜感，细节很多，流畅稳定\n\n价位实惠，做工好，拍照非常好 支持vivo！",5
期盼已久的手机终于到啦！外观很漂亮，试拍了几张，效果很满意。买这个手机主要是看重他的拍照，能随时随地给孩子拍出美丽的照片。由于刚刚收到，其他功能有待进一步测试。现在机器充电中。,5
"外形外观：颜值安卓顶级\n\n屏幕音效：屏幕很好，效果不比那些2k屏差\n\n拍照效果：顶级水平了，超过ip12\n运行速度：888绝对流畅\n\n待机时间：没开5g，一天一冲"",""vcontent"":""{$%&外形外观：&%$}颜值安卓顶级\n\n{$%&屏幕音效：&%$}屏幕很好，效果不比那些2k屏差\n\n{$%&拍照效果：&%$}顶级水平了，超过ip12\n{$%&运行速度：&%$}888绝对流畅\n\n{$%&待机时间：&%$}没开5g，一天一冲",5
妈妈喜欢拍照，这次618果断入手X60 Pro+超大杯。用了几天，拍照果然不是盖的，妈妈喜欢得爱不释手。以后出去游玩，再也不用背着笨重的ipad啦。,5
首先物流很快，外观美观大方，做工精细，尤其是霸气十足的摄像头部分，后盖橙色的磨砂皮手感很好，运行流畅，曲面屏角度很舒服，非常喜欢。,5
手机非常不错，屏幕调色比较好，不过第一次用曲屏的手机，要小心翼翼\n还有就是拍照录像真不错，前几天去大剧院看演出录了一段视频，画面非常清晰，值得点赞,5
第一次买vivo手机，到目前为止使用很流畅，手感很好，质感不错，看起来显得很高档，屏幕无论色彩一还是亮度都很好，看起来很舒服，摄像头清晰度和色彩很好，响应快，配备充电器和耳机，唯一不足的是单扬声器，外放显得单薄，插上耳机还是不错的，京东自营品质保证，物流配送也一如既往的好，还送了无线耳机，各方面都很均衡，总体好评！,5
评论,评分
正品，发货快，质量还不错,"5,""title"":"""",""usefulVoteCount"":0,""userClient"":2,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""12GB+256GB"",""textIntegral"":20,""status"":1,""referenceId"":""100021368790"",""referenceTime"":""2021-09-14 17:03:19"",""nickname"":""m***4"",""replyCount2"":0,""userImage"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":4,""afterDays"":0},{""id"":16323383760,""guid"":""614626a66973d85e35a731f8838f7261"",""content"":""挺好的，用一段时间了很好用，京东值得信赖，在京东买了好多次家电了，没失望过"",""creationTime"":""2021-09-18 10:11:17"",""isDelete"":false,""isTop"":false,""userImageUrl"":""storage.360buyimg.com/i.imageUpload/c1e1b5c4b6acccec31343630373931343530373435_sma.jpg"",""topped"":0,""replyCount"":0,""score"":5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""discussionId"":966484878,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""mergeOrderStatus"":-2,""productColor"":""深海蓝"",""productSize"":""12GB+256GB"",""textIntegral"":20,""status"":1,""referenceId"":""100009813715"",""referenceTime"":""2021-08-05 12:51:15"",""nickname"":""玲***天"",""replyCount2"":0,""userImage"":""storage.360buyimg.com/i.imageUpload/c1e1b5c4b6acccec31343630373931343530373435_sma.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":44,""afterDays"":0},{""id"":16323188096,""guid"":""ca3dfb2aa23e0a2f9332d764cdf33161"",""content"":""非常不错，很喜欢，感觉x60系列被埋没了，这么优秀却很少有评论。配置跟新发布的fand 3 Pro没什么区别，就是屏幕颜色不同而已。"",""creationTime"":""2021-09-18 09:26:10"",""isDelete"":false,""isTop"":false,""userImageUrl"":""storage.360buyimg.com/i.imageUpload/6a645f3634386634346163666461623331353935353932353438353930_sma.jpg"",""topped"":0,""replyCount"":0,""score"":5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""8GB+256GB"",""textIntegral"":20,""status"":1,""referenceId"":""100024758966"",""referenceTime"":""2021-09-15 17:29:29"",""nickname"":""g***0"",""replyCount2"":0,""userImage"":""storage.360buyimg.com/i.imageUpload/6a645f3634386634346163666461623331353935353932353438353930_sma.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":3,""afterDays"":0},{""id"":16321884520,""guid"":""5cc87e704418facb51d83d48adca9cab"",""content"":""拍照效果：很清晰\n刚开始电不耐用，充多几次过后就好了"",""vcontent"":""{$%&拍照效果：&%$}很清晰\n刚开始电不耐用，充多几次过后就好了"",""creationTime"":""2021-09-18 01:48:00"",""isDelete"":false,""isTop"":false,""userImageUrl"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""topped"":0,""replyCount"":0,""score"":5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""12GB+256GB"",""textIntegral"":20,""status"":1,""referenceId"":""100021368790"",""referenceTime"":""2021-08-12 02:58:23"",""nickname"":""u***e"",""replyCount2"":0,""userImage"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""orderId"":0,""integral"":20,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":37,""afterDays"":0},{""id"":16318662318,""guid"":""240ee9c108d59aa3e5949b3021ecc018"",""content"":""今天刚收到手机，打开一看非常好看，第一次使用曲屏手机不知道好不好用，用一段时间再评"",""creationTime"":""2021-09-17 13:55:41"",""isDelete"":false,""isTop"":false,""userImageUrl"":""storage.360buyimg.com/i.imageUpload/7764577a764161446442466c6e7731353832303939323031313536_sma.jpg"",""topped"":0,""replyCount"":0,""score"":5"
此用户未填写评价内容,5
"外形外观：好看\n屏幕音效：不错\n拍照效果：很好\n运行速度：挺快\n待机时间：还可以\n其他特色：橙色好看"",""vcontent"":""{$%&外形外观：&%$}好看\n{$%&屏幕音效：&%$}不错\n{$%&拍照效果：&%$}很好\n{$%&运行速度：&%$}挺快\n{$%&待机时间：&%$}还可以\n{$%&其他特色：&%$}橙色好看",5
不错。已买两台,"5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""anonymousFlag"":1,""plusAvailable"":203,""mobileVersion"":""10.1.4"",""productColor"":""深海蓝【t版】"",""productSize"":""8GB+128GB"",""textIntegral"":0,""status"":1,""referenceId"":""100021368778"",""referenceTime"":""2021-09-16 11:39:40"",""nickname"":""A***-"",""replyCount2"":0,""userImage"":""storage.360buyimg.com/i.imageUpload/6a645f3761343436373662656239646131353333383730343837353336_sma.jpg"",""orderId"":0,""integral"":0,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":1,""afterDays"":0},{""id"":16316932580,""guid"":""db054d74eb8f672f365bb1b092dacc46"",""content"":""好用 漂亮 用了一阵子 照相好"",""creationTime"":""2021-09-17 08:28:24"",""isDelete"":false,""isTop"":false,""userImageUrl"":""storage.360buyimg.com/i.imageUpload/63786d3030303631343431303232383434373437_sma.jpg"",""topped"":0,""replyCount"":0,""score"":5,""title"":"""",""usefulVoteCount"":0,""userClient"":4,""anonymousFlag"":1,""plusAvailable"":201,""mobileVersion"":""10.1.4"",""productColor"":""经典橙【t版】"",""productSize"":""12GB+256GB"",""textIntegral"":0,""status"":1,""referenceId"":""100021368776"",""referenceTime"":""2021-07-18 20:17:13"",""nickname"":""步***章"",""replyCount2"":0,""userImage"":""storage.360buyimg.com/i.imageUpload/63786d3030303631343431303232383434373437_sma.jpg"",""orderId"":0,""integral"":0,""productSales"":""[{\""dim\"":3,\""saleName\"":\""选择版本\"",\""saleValue\"":\""官方标配\""}]"",""referenceImage"":""jfs/t1/175436/32/13091/98664/60bb320bE03c3b454/bdf312a98bb530e3.jpg"",""referenceName"":""vivo X60t Pro+ 8GB+128GB 深海蓝 5G手机 微云台双主摄 蔡司联合影像系统 5nm高通骁龙888旗舰芯片"",""firstCategory"":9987,""secondCategory"":653,""thirdCategory"":655,""aesPin"":null,""days"":61,""afterDays"":0},{""id"":16312059114,""guid"":""97974d09a3e8561d2142bc514136f621"",""content"":""此用户未填写评价内容"",""creationTime"":""2021-09-16 12:06:40"",""isDelete"":false,""isTop"":false,""userImageUrl"":""misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg"",""topped"":0,""replyCount"":0,""score"":5"
评论,评分
拍照效果：拍照效果很好 运行速度：很快 显示效果：很好 显示效果。,5
手机非常好，在2021年期间，手机里显得格外轻薄，拍照十分给力，比我小米11u 强多了，这个安卓之光很尴尬呀。不玩游戏的话，骁龙888的手机里里发热还算可以。续航中规中矩，不算很优秀，但是也不拉胯。买来就是给妈妈拍照用的，她很喜欢,5
非常nice啊，手感很好，外观辨识度高，不得不说pro+的拍照确实牛，清晰，色感超好，而且界面非常直观，简单易用。注重拍照，选择这款手机，一定会完美它的。其它如55w快充，续航，高刷等都是锦上添花的了。,5
刚好赶上618搞活动。交了500，然后18号的时候又降了200，刚好跟客服沟通，然后补了我差价，太感谢了。手机外观特别好看，还有颜色。这个橙色的是颜色特别漂亮。手机的质感也特别的好。相机的照相功能特别的强大，买的时候就是那这个手机的像素强大。,5
非常不错的手机，一直在用vivo的手机，这款手机非常好用，处理器是最新最强的骁龙888.再配合最新的系统，运行飞快，爱不释手，还有120的刷新率非常的顺滑，玩游戏就是溜。照相视频有微云台加大底摄像头，出门可以丢掉照相机啦，还有快速充电，简直完美极了，强烈推荐，好评！,5
买来送给老婆的 她很喜欢橘色 这款手机真的超级赞   拍照好看 外观设计漂亮 老婆很喜欢 速度很快,5
Vivo手机是京东商城销售的国际名牌优质产品，此次60pro＋在618活动中优惠幅度大，质量好，外观漂亮，料质地好，做工精细，使用舒适，样式新颖好看。手机开关机及触屏操作反应快无卡顿，充电极快，屏幕视觉色彩好超高清。该产品十分适合抗疫期间广大医护工作者上下班工作和休闲时使用，受到大家喜爱。\n京东快递员服务态度好，热情周到，送货速度快，外包装完好无损！?赞一个！,5
因为要出门旅游，想着入手一款拍照效果好的手机，比较之后，终于入手了Vivo x60 pro+，拿在手里感觉很好，经典橙颜值非常不错，大小也合适，拍照效果也很令人满意，出门旅游拍的照片团友都说好，有好几位团友都说回去就换手机呢。要想用手机拍出好照片，选这款手机没错的,5
619买的，竟然比618还便宜。虽然是x60t，据说比x60人像头要缩水，不过好像把原来的硬壳保护套升级为软套，这样更舒服了，手感非常棒，不愧是超大杯，质感棒棒的。,5
vivo x60pro+拍照很好看，618第一天4599入手，太香了，12+256版本，已经卖光了哈哈。\n\n拍人，拍景，拍美食都非常好。性能强，充电55w也挺快的。屏幕不是2k能接受。拍照影响旗舰，喜欢拍照的就买这个。很喜欢，手感也很高，颜值也好看。,5
评论,评分
买来一部VIVO旗舰手机，现在各种型号手机看不过来，不知道选什么了，所以就买旗舰机准没错，配置高使用易上手，功能强大，照相蔡司品牌加持，微云台防抖，真的很稳。,5
"外形外观：素皮材质很棒\n屏幕音效：单扬声器，影响游戏体验\n拍照效果：一等一\n运行速度：骁龙888不用多说\n待机时间：不长\n其他特色：手感圆滑细腻，非常适合不带手机壳"",""vcontent"":""{$%&外形外观：&%$}素皮材质很棒\n{$%&屏幕音效：&%$}单扬声器，影响游戏体验\n{$%&拍照效果：&%$}一等一\n{$%&运行速度：&%$}骁龙888不用多说\n{$%&待机时间：&%$}不长\n{$%&其他特色：&%$}手感圆滑细腻，非常适合不带手机壳",5
手机手感很好，屏幕的清晰我原来的苹果XR无法比，运行非常流畅，相机更是无可挑剔,5
这款总体还是很不错的，各项配置直接拉满，该有的都有了，12加256的内存够我用个四五年了，挺满意的。,5
第一次购买VIVO产品。第一，做工果然很棒，没有任何问题。第二，系统流畅，拍照顶级。第三，机子同比华为mate40系列，发热略微偏大，耗电快一些。但爸爸很喜欢，满意就足够了。,5
喜欢很久了，今天下单了，也是看极挑才决定入手的，尤其是蔡司镜头更加吸引我的注意力！确实爱了爱了，,5
上手了，拍照超清晰，第一次用高像数的手机，超广角，微云台，有待慢慢琢磨研究，提高自己的拍照水平。运行速度特快，一次不二的选择,5
刚收到货使用了一会，系统很流畅，最新的骁龙888，照相很不错，蔡司的镜头，续航看后续适用。,5
终于收到了vivo的超大杯，包装真的很用心了，质感很好，手机的深蓝色素皮很低调，很深邃，屏幕用的是中置挖孔，拍照真的是这个机型主打的，蔡司+T*镀膜，真的是拍照手机，缺点就是单扬声器了,5
"外形外观：外形外观：完美 \n屏幕音效：清晰\n拍照效果：超级棒\n运行速度：运行速度：快 \n待机时间：可以\n其他特色：期待最好"",""vcontent"":""{$%&外形外观：&%$}外形外观：完美 \n{$%&屏幕音效：&%$}清晰\n{$%&拍照效果：&%$}超级棒\n{$%&运行速度：&%$}运行速度：快 \n{$%&待机时间：&%$}可以\n{$%&其他特色：&%$}期待最好",5
评论,评分
终于拿到我想要的ViVoX60Pro＋手机了，超大的运行内存和8核5G手机，接近3.0处理器，机身内存256G用也用不完，手机速度不输苹果的，曲届屏好看又实用，给五星级,5
"外形外观：外观不错  手感拿着舒服\n屏幕音效：屏幕效果堪称完美一流\n拍照效果：效果极佳  照片像素高清完美\n运行速度：运行速度速度  玩游戏行云流水\n待机时间：刚拿新手  就来评价  后期再添加  不过4000的大电池够使用了\n其他特色：冲动方面比较快55W快冲大概40分钟冲满"",""vcontent"":""{$%&外形外观：&%$}外观不错  手感拿着舒服\n{$%&屏幕音效：&%$}屏幕效果堪称完美一流\n{$%&拍照效果：&%$}效果极佳  照片像素高清完美\n{$%&运行速度：&%$}运行速度速度  玩游戏行云流水\n{$%&待机时间：&%$}刚拿新手  就来评价  后期再添加  不过4000的大电池够使用了\n{$%&其他特色：&%$}冲动方面比较快55W快冲大概40分钟冲满",5
个人最喜欢的手机，没有之一！2021上半年的真拍照旗舰，焦段齐全，防抖出色，画面艳丽，色彩动人，一不小心就会让你爱上拍照的感觉！,5
